QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBPURCH,APBP_RCH
20191,03891134,1,0,1,655,D,1,D,12,D,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891224,1,0,1,660,D,1,D,12,D,1093,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891224,2,0,1,640,D,1,D,12,D,656,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,A
20191,03891254,1,0,1,460,D,1,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891284,1,0,2,230,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891284,2,0,2,270,D,1,D,10,D,770,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891284,3,0,2,660,D,1,D,10,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891404,1,0,1,230,D,1,D,11,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891404,2,0,1,810,D,1,D,10,D,,H,,A,670,D,440,D,,A,,A,,A,,A,,A,,A,,A,1,D,,H,,A
20191,03891404,2,1,1,440,D,1,D,10,D,95,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,E,,A
20191,03891534,1,0,1,230,D,1,D,12,D,116,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891534,2,0,1,500,D,1,D,12,D,138,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891644,1,0,1,480,D,1,D,11,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891704,3,0,1,270,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891714,1,0,1,320,D,3,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891714,2,0,1,570,D,3,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891724,1,0,1,320,D,1,D,12,D,205,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891774,1,0,1,270,D,1,D,12,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891814,1,0,1,650,D,1,D,10,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891814,2,0,1,650,D,1,D,11,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891814,3,0,1,650,D,1,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891864,3,0,1,365,D,1,D,11,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,A
20191,03891864,4,0,1,500,D,1,D,12,D,355,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891944,1,0,1,645,D,1,D,12,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891944,2,0,1,350,D,1,D,12,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892034,1,0,1,230,D,3,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892054,1,0,1,260,D,1,D,12,D,189,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
