QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20191,03891134,17,0,1,400,D,10,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891134,18,0,1,400,D,11,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891134,19,0,1,330,D,12,D,1,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891134,20,0,2,400,D,10,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891154,13,0,1,330,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891174,12,0,1,370,D,13,D,1,D,44,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891224,19,0,1,390,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891224,20,0,1,260,D,11,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891244,17,0,1,370,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891254,8,0,1,240,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891254,9,0,1,250,D,11,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,41,0,1,170,D,12,D,1,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,42,0,1,170,D,13,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,43,0,1,380,D,11,D,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,44,0,1,180,D,13,D,1,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,45,0,1,225,D,13,D,1,D,44,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,46,0,1,265,D,10,D,1,D,,H,250,D,260,D,240,D,,A,,A,,A,,A,,A,,,A
20191,03891284,46,1,1,250,D,10,D,1,D,181,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,46,2,1,260,D,10,D,1,D,452,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,46,3,1,240,D,10,D,1,D,91,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,47,0,1,410,D,10,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,48,0,1,410,D,11,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,49,0,1,410,D,12,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,50,0,2,210,D,10,D,1,D,475,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,51,0,2,265,D,10,D,1,D,,H,240,D,260,D,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,51,1,2,240,D,10,D,1,D,55,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,51,2,2,260,D,10,D,1,D,275,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891284,52,0,2,260,D,10,D,1,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891394,16,0,1,180,D,11,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891404,38,0,1,140,D,10,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891404,39,0,1,390,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891404,40,0,1,330,D,12,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891404,41,0,1,100,D,12,D,2,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891504,19,0,1,390,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891504,20,0,2,390,D,10,D,1,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891534,14,0,1,390,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891534,15,0,1,330,D,12,D,2,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891564,8,0,1,330,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891654,14,0,1,140,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20191,03891654,15,0,1,170,D,12,D,1,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891654,16,0,1,240,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891654,17,0,1,250,D,10,D,1,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891654,18,0,1,250,D,12,D,1,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891654,19,0,2,390,D,10,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891704,42,0,1,370,D,13,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20191,03891704,43,0,1,330,D,11,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
