QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20191,03891134,24,0,1,160,D,1,D,20,D,10,D,
20191,03891134,25,0,1,160,D,1,D,20,D,11,D,
20191,03891134,26,0,1,160,D,1,D,5,D,12,D,
20191,03891134,27,0,1,150,D,1,D,6,D,10,D,
20191,03891134,28,0,1,150,D,1,D,6,D,11,D,
20191,03891134,29,0,1,150,D,1,D,6,D,12,D,
20191,03891134,30,0,2,160,D,1,D,5,D,10,D,
20191,03891134,31,0,2,160,D,1,D,6,D,10,D,
20191,03891224,35,0,1,520,D,1,D,45,D,10,D,
20191,03891224,36,0,1,520,D,1,D,50,D,11,D,
20191,03891284,65,0,1,810,D,1,D,100,D,12,D,2
20191,03891284,66,0,1,840,D,1,D,50,D,11,D,1
20191,03891284,67,0,1,530,D,1,D,55,D,11,D,3
20191,03891284,68,0,1,160,D,1,D,30,D,10,D,3
20191,03891284,69,0,1,160,D,1,D,22,D,12,D,3
20191,03891284,70,0,1,210,D,1,D,30,D,12,D,2
20191,03891284,71,0,2,150,D,1,D,30,D,10,D,
20191,03891394,20,0,1,830,D,1,D,60,D,13,D,
20191,03891394,21,0,1,330,D,1,D,14,D,13,D,
20191,03891394,22,0,1,410,D,1,D,140,D,11,D,
20191,03891394,23,0,2,930,D,1,D,155,D,10,D,
20191,03891394,24,0,2,520,D,1,D,30,D,10,D,
20191,03891394,25,0,2,150,D,1,D,15,D,10,D,
20191,03891404,46,0,1,800,D,1,D,175,D,12,D,
20191,03891404,47,0,1,830,D,1,D,37,D,13,D,
20191,03891404,48,0,1,950,D,1,D,180,D,10,D,
20191,03891404,49,0,1,950,D,1,D,180,D,11,D,
20191,03891404,50,0,1,950,D,1,D,180,D,12,D,
20191,03891404,51,0,1,840,D,1,D,119,D,12,D,
20191,03891404,52,0,1,150,D,1,D,20,D,10,D,
20191,03891404,53,0,1,150,D,1,D,20,D,11,D,
20191,03891404,54,0,1,150,D,1,D,20,D,12,D,
20191,03891404,55,0,1,355,D,1,D,1,D,13,D,
20191,03891404,56,0,1,355,D,1,D,4,D,13,D,
20191,03891404,57,0,2,800,D,1,D,175,D,10,D,
20191,03891404,58,0,2,600,D,1,D,160,D,10,D,
20191,03891464,25,0,1,370,D,1,D,200,D,11,D,
20191,03891464,26,0,2,370,D,1,D,130,D,10,D,
20191,03891464,27,0,2,310,D,1,D,40,D,10,D,
20191,03891534,21,0,1,600,D,1,D,40,D,12,D,
20191,03891564,12,0,1,520,D,1,D,12,D,10,D,
20191,03891564,13,0,1,520,D,1,D,23,D,12,D,
20191,03891564,14,0,1,340,D,1,D,35,D,10,D,
20191,03891564,15,0,1,370,D,1,D,100,D,10,D,
20191,03891564,16,0,1,370,D,1,D,40,D,11,D,
20191,03891564,17,0,1,370,D,1,D,27,D,12,D,
20191,03891564,18,0,1,410,D,1,D,26,D,11,D,
20191,03891604,23,0,1,700,D,1,D,25,F,13,D,
20191,03891644,42,0,1,520,D,1,D,60,D,12,D,
20191,03891644,43,0,1,355,D,1,D,15,D,10,D,
20191,03891644,44,0,1,355,D,1,D,15,D,11,D,
20191,03891644,45,0,1,355,D,1,D,15,D,12,D,
20191,03891644,46,0,2,520,D,1,D,34,D,10,D,
20191,03891654,29,0,2,520,D,1,D,30,D,10,D,
20191,03891704,57,0,1,820,D,1,D,95,D,10,D,
20191,03891704,58,0,2,310,D,1,D,8,D,10,D,
20191,03891714,52,0,1,840,D,1,D,15,D,10,D,
20191,03891714,53,0,1,310,D,1,D,20,D,12,D,
20191,03891724,21,0,1,830,D,1,D,30,D,13,D,
20191,03891774,35,0,1,500,D,1,D,90,D,10,D,
20191,03891774,36,0,1,520,D,1,D,22,D,12,D,
20191,03891774,37,0,1,160,D,1,D,10,D,10,D,
20191,03891774,38,0,1,210,D,1,D,10,D,11,D,
20191,03891774,39,0,1,355,D,1,D,50,D,13,D,
20191,03891814,15,0,1,820,D,1,D,50,D,12,D,
20191,03891814,16,0,1,320,D,1,D,20,D,10,D,
20191,03891814,17,0,1,340,D,1,D,4,D,12,D,
20191,03891814,18,0,1,355,D,1,D,9,D,13,D,
20191,03891814,19,0,1,355,D,1,D,3,D,13,D,
20191,03891844,43,0,1,310,D,2,D,50,D,12,D,
20191,03891844,44,0,2,310,D,1,D,26,D,10,D,
20191,03891874,18,0,1,700,D,1,D,24,D,13,D,
20191,03891944,63,0,1,830,D,1,D,45,D,10,D,
20191,03891944,64,0,1,210,D,2,D,10,D,12,D,
20191,03891944,65,0,1,210,D,1,D,12,D,12,D,
20191,03891944,66,0,1,210,D,1,D,45,D,11,D,
20191,03891944,67,0,1,320,D,2,D,33,D,12,D,
20191,03891944,68,0,1,320,D,1,D,13,D,12,D,
20191,03891944,69,0,1,320,D,2,D,26,D,10,D,
20191,03891944,70,0,1,320,D,1,D,13,D,12,D,
20191,03891944,71,0,1,355,D,1,D,8,D,12,D,
20191,03891944,72,0,1,355,D,1,D,13,D,13,D,
20191,03891944,73,0,2,530,D,1,D,60,D,10,D,
