QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20191,03891134,38,0,1,11,D,350,D,,A,350,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891134,39,0,1,10,D,60,D,,A,60,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891134,40,0,1,11,D,60,D,,A,60,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891134,41,0,1,12,D,15,D,,A,15,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891134,42,0,2,10,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891134,43,0,2,10,D,15,D,,A,15,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891224,45,0,1,11,D,365,D,,A,,H,115,D,1,D,2,D,110,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,03891224,45,1,1,11,D,,B,,A,301,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891224,45,2,1,11,D,,B,,A,64,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891284,79,0,1,12,D,44,D,,A,44,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891354,11,0,1,12,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891384,27,0,1,11,D,29,D,,A,29,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891404,65,0,1,10,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891404,66,0,1,11,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891404,67,0,1,12,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891404,68,0,2,10,D,20,D,,A,20,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891564,23,0,1,11,D,1282,D,,A,1282,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891624,25,0,1,11,D,32,D,,A,32,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891624,26,0,1,12,D,350,D,,A,350,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891624,27,0,1,12,D,150,D,,A,150,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891624,28,0,1,12,D,150,D,,A,150,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891644,55,0,1,11,D,1391,D,,A,,H,500,D,1,D,2,D,130,D,140,D,370,D,,A,,A,,A,,A,,A,,A
20191,03891644,55,1,1,11,D,,B,,A,1391,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891644,56,0,1,10,D,107,D,,A,107,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891654,36,0,1,11,D,450,D,,A,450,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891714,63,0,1,10,D,60,D,,A,60,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891714,64,0,1,12,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891724,26,0,1,10,D,40,D,,A,40,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891724,27,0,1,11,D,42,D,,A,42,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891744,18,0,1,11,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891744,19,0,1,12,D,66,D,,A,66,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891744,20,0,1,11,D,1800,D,,A,1800,D,160,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891774,47,0,1,11,D,110,D,,A,,H,115,D,1,D,2,D,110,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,03891774,47,1,1,11,D,,B,,A,91,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891774,47,2,1,11,D,,B,,A,19,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891774,48,0,1,10,D,5,D,,A,5,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891814,22,0,1,11,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891844,52,0,1,11,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891864,23,0,1,12,D,145,D,,A,145,D,110,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891874,23,0,1,11,D,291,D,,A,291,D,360,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891874,24,0,1,10,D,48,D,,A,48,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891874,25,0,1,12,D,48,D,,A,48,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891874,26,0,2,10,D,395,D,,A,395,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891884,20,0,1,12,D,100,D,,A,100,D,160,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891944,87,0,1,12,D,85,D,,A,85,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891944,88,0,1,12,D,550,D,,A,550,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03891974,38,0,1,11,D,21,D,,A,21,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892024,28,0,1,11,D,200,D,,A,200,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892054,36,0,1,11,D,115,D,,A,115,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892104,31,0,1,12,D,5,D,,A,5,D,150,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892104,32,0,1,10,D,9,D,,A,9,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892104,33,0,1,11,D,9,D,,A,9,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892104,34,0,1,12,D,9,D,,A,9,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892234,41,0,1,11,D,783,D,,A,,H,500,D,1,F,2,D,100,D,370,D,140,D,,A,,A,,A,,A,,A,,A
20191,03892234,41,1,1,11,D,,B,,A,137,E,100,D,1,F,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
