QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20191,03891134,45,0,1,5850,D,650,D,,A,1625,D,0,D,,A,,A,5200,D,300,D,300,D,3900,D,,A,,A
20191,03891154,28,0,1,2275,D,325,D,1040,D,650,D,0,D,,A,,A,1950,D,0,D,,A,,A,,A,,A
20191,03891174,25,0,1,1950,D,390,D,,A,0,D,0,D,,A,,A,1560,D,0,D,,A,,A,,A,,A
20191,03891224,47,0,1,1950,D,650,D,,A,1300,D,60,D,,A,,A,1300,D,60,D,,A,,A,,A,,A
20191,03891234,5,0,1,1560,D,390,D,520,D,723,F,139,F,,A,,A,1170,D,197,F,,A,,A,,A,,A
20191,03891244,36,0,1,325,D,0,D,,A,0,D,0,D,,A,,A,325,D,36,D,7,D,91,D,,A,,A
20191,03891254,18,0,1,975,D,0,D,650,D,0,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20191,03891284,81,0,1,1300,D,130,D,,A,1300,D,0,D,,A,,A,1170,D,90,D,,A,,A,,A,,A
20191,03891354,13,0,1,3900,D,325,D,,A,0,D,0,D,,A,,A,3575,D,0,D,,A,,A,,A,,A
20191,03891384,30,0,1,650,D,130,D,,A,0,D,0,D,,A,,A,520,D,120,D,,A,,A,,A,,A
20191,03891394,34,0,1,975,D,130,D,,A,650,D,300,D,,A,,A,845,D,150,D,,A,,A,,A,,A
20191,03891404,71,0,1,1300,D,195,D,,A,520,D,210,D,,A,,A,1105,D,90,D,,A,,A,,A,,A
20191,03891464,35,0,1,975,D,78,D,130,D,650,D,0,D,,A,,A,897,D,24,D,,A,,A,130,D,10,D
20191,03891494,16,0,1,1950,D,390,D,,A,0,D,0,D,,A,,A,1560,D,0,D,,A,,A,,A,,A
20191,03891504,29,0,1,1300,D,260,D,,A,0,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20191,03891534,27,0,1,520,D,52,D,65,D,780,D,120,D,,A,,A,468,D,105,D,20,D,260,D,,A,,A
20191,03891564,27,0,1,1560,D,65,D,260,D,65,D,0,D,,A,,A,1495,D,0,D,,A,,A,,A,,A
20191,03891604,31,0,1,1950,D,975,D,,A,0,D,0,D,,A,,A,975,D,0,D,20,D,260,D,,A,,A
20191,03891624,33,0,1,260,D,65,D,,A,78,D,0,D,,A,,A,195,D,0,D,,A,,A,,A,,A
20191,03891634,25,0,1,1300,D,260,D,,A,0,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20191,03891644,58,0,1,1950,D,195,D,,A,780,D,0,D,,A,,A,1755,D,60,D,,A,,A,,A,,A
20191,03891654,39,0,1,3250,D,390,D,260,D,390,D,60,D,,A,105,D,2860,D,60,D,,A,,A,,A,,A
20191,03891704,66,0,1,2340,D,130,D,,A,1170,D,0,D,,A,96,D,2210,D,75,D,,A,,A,,A,,A
20191,03891714,66,0,1,130,D,0,D,65,D,130,D,0,D,,A,,A,130,D,0,D,,A,,A,,A,,A
20191,03891724,29,0,1,715,D,104,D,,A,1300,D,0,D,,A,,A,611,D,51,D,,A,,A,,A,,A
20191,03891744,22,0,1,650,D,260,D,,A,780,D,0,D,,A,,A,390,D,0,D,15,D,195,D,260,D,20,D
20191,03891754,34,0,1,923,D,169,D,,A,0,D,0,D,,A,,A,754,D,0,D,,A,,A,,A,,A
20191,03891774,50,0,1,1300,D,195,D,,A,650,D,150,D,,A,,A,1105,D,60,D,,A,,A,,A,,A
20191,03891814,25,0,1,650,D,130,D,,A,1560,D,0,D,,A,,A,520,D,120,D,,A,,A,,A,,A
20191,03891824,7,0,1,1048,F,,A,,A,485,F,137,F,,A,,A,857,F,148,F,,A,,A,,A,,A
20191,03891834,10,0,1,325,D,130,D,1300,D,0,D,0,D,,A,,A,195,D,0,D,,A,,A,,A,,A
20191,03891844,54,0,1,1040,D,130,D,,A,260,D,0,D,,A,,A,910,D,15,D,,A,,A,,A,,A
20191,03891854,18,0,1,650,D,130,D,,A,0,D,0,D,,A,,A,520,D,0,D,40,D,520,D,,A,,A
20191,03891864,26,0,1,780,D,390,D,,A,0,D,450,D,,A,,A,390,D,60,D,,A,,A,,A,,A
20191,03891874,28,0,1,2925,D,325,D,,A,585,D,30,D,,A,,A,2600,D,75,D,,A,,A,,A,,A
20191,03891884,22,0,1,1300,D,260,D,,A,780,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20191,03891934,19,0,1,650,D,130,D,,A,0,D,0,D,,A,,A,520,D,0,D,,A,,A,,A,,A
20191,03891944,90,0,1,1950,D,650,D,156,D,975,D,60,D,,A,,A,1300,D,120,D,,A,,A,,A,,A
20191,03891974,40,0,1,3900,D,1300,D,,A,520,D,150,D,,A,,A,2600,D,150,D,,A,,A,,A,,A
20191,03892024,30,0,1,3900,D,390,D,,A,195,D,0,D,,A,,A,3510,D,0,D,,A,,A,,A,,A
20191,03892034,41,0,1,650,D,26,D,,A,65,D,0,D,,A,,A,624,D,60,D,,A,,A,,A,,A
20191,03892044,26,0,1,2600,D,0,D,,A,390,D,0,D,,A,,A,2600,D,0,D,14,D,182,D,52,D,4,D
20191,03892054,38,0,1,1950,D,260,D,,A,650,D,0,D,,A,,A,1690,D,0,D,,A,,A,,A,,A
20191,03892064,27,0,1,1950,D,325,D,,A,650,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20191,03892084,26,0,1,3900,D,325,D,,A,1300,D,150,D,,A,,A,3575,D,150,D,,A,,A,,A,,A
20191,03892104,36,0,1,715,D,325,D,390,D,260,D,0,D,,A,,A,390,D,0,D,,A,,A,,A,,A
20191,03892114,29,0,1,975,D,130,D,,A,520,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20191,03892144,28,0,1,845,D,130,D,,A,260,D,0,D,,A,,A,715,D,0,D,,A,,A,,A,,A
20191,03892204,32,0,1,325,D,130,D,,A,0,D,0,D,,A,,A,195,D,0,D,,A,,A,,A,,A
20191,03892234,46,0,1,1755,D,780,D,,A,390,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20191,03892244,64,0,1,2925,D,325,D,,A,390,D,300,D,,A,,A,2600,D,150,D,,A,,A,,A,,A
20191,03892254,33,0,1,1950,D,390,D,260,D,520,D,90,D,,A,520,D,1560,D,36,D,,A,,A,,A,,A
20191,03892284,16,0,1,1300,D,260,D,,A,520,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20191,03892294,31,0,1,2340,D,390,D,,A,0,D,0,D,,A,,A,1950,D,0,D,30,D,390,D,260,D,20,D
20191,03892304,36,0,1,1300,D,195,D,390,D,0,D,0,D,,A,,A,1105,D,0,D,,A,,A,,A,,A
20191,03892344,52,0,1,6500,D,975,D,,A,975,D,0,D,,A,,A,5525,D,0,D,,A,,A,,A,,A
20191,03892354,37,0,1,1300,D,325,D,1300,D,650,D,45,D,,A,,A,975,D,210,D,,A,,A,,A,,A
20191,03892364,40,0,1,1040,D,195,D,,A,1300,D,90,D,,A,,A,845,D,60,D,,A,,A,,A,,A
20191,03892384,29,0,1,1040,D,195,D,,A,0,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20191,03892414,21,0,1,2600,D,390,D,,A,1300,D,0,D,,A,,A,2210,D,0,D,,A,,A,,A,,A
20191,03892424,35,0,1,780,D,130,D,,A,156,D,0,D,,A,,A,650,D,30,D,,A,,A,,A,,A
20191,03892454,23,0,1,1625,D,260,D,,A,0,D,0,D,,A,,A,1365,D,120,D,,A,,A,,A,,A
20191,03892484,27,0,1,650,D,260,D,,A,0,D,0,D,,A,,A,390,D,0,D,,A,,A,,A,,A
20191,03892514,21,0,1,780,D,130,D,130,D,65,D,0,D,,A,,A,650,D,60,D,20,D,260,D,130,D,10,D
20191,03892564,55,0,1,6500,D,650,D,,A,1300,D,0,D,,A,,A,5850,D,900,D,,A,,A,,A,,A
20191,03892584,14,0,1,1300,D,260,D,,A,780,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20191,03892604,27,0,1,1625,D,325,D,,A,650,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20191,03892614,26,0,1,1820,D,130,D,1560,D,780,D,0,D,,A,,A,1690,D,0,D,40,D,520,D,,A,,A
20191,03892624,34,0,1,2119,D,520,D,,A,325,D,0,D,,A,,A,1599,D,0,D,,A,,A,,A,,A
20191,03892674,39,0,1,1625,D,260,D,,A,325,D,0,D,,A,,A,1365,D,0,D,,A,,A,,A,,A
20191,03892744,37,0,1,325,D,0,D,,A,585,D,0,D,,A,,A,325,D,0,D,,A,,A,,A,,A
20191,03892774,35,0,1,1300,D,390,D,,A,260,D,0,D,,A,,A,910,D,120,D,,A,,A,,A,,A
20191,03892794,34,0,1,1625,D,325,D,,A,1950,D,0,D,,A,,A,1300,D,150,D,,A,,A,,A,,A
20191,03892814,25,0,1,2600,D,780,D,,A,0,D,0,D,,A,,A,1820,D,0,D,170,D,2210,D,,A,,A
20191,03892824,31,0,1,2103,F,,A,,A,653,F,100,F,,A,,A,1724,F,122,F,,A,,A,,A,,A
20191,03892834,67,0,1,1625,D,325,D,,A,260,D,0,D,,A,,A,1300,D,105,D,,A,,A,65,D,5,D
20191,03892844,77,0,1,6500,D,650,D,,A,780,D,90,D,,A,,A,5850,D,60,D,,A,,A,,A,,A
20191,03892854,28,0,1,1300,D,325,D,,A,650,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20191,03892864,35,0,1,910,D,260,D,,A,260,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20191,03892894,31,0,1,910,D,520,D,,A,195,D,0,D,,A,,A,390,D,0,D,,A,,A,,A,,A
20191,03892924,14,0,1,1560,D,260,D,,A,0,D,0,D,,A,,A,1300,D,0,D,,A,,A,,A,,A
20191,03892934,40,0,1,1625,D,845,D,260,D,650,D,300,D,,A,,A,780,D,900,D,,A,,A,,A,,A
20191,03892984,13,0,1,975,D,650,D,,A,0,D,0,D,,A,,A,325,D,0,D,,A,,A,,A,,A
20191,03892994,38,0,1,1625,D,130,D,,A,1300,D,0,D,,A,,A,1495,D,0,D,,A,,A,,A,,A
20191,03893014,22,0,1,975,D,260,D,,A,0,D,0,D,,A,,A,715,D,0,D,,A,,A,,A,,A
20191,03893034,7,0,1,1170,D,0,D,,A,260,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20191,03893054,66,0,1,2600,D,260,D,,A,910,D,120,D,,A,105,D,2340,D,75,D,,A,,A,,A,,A
20191,03893074,28,0,1,2600,D,0,D,,A,478,F,0,D,,A,100,D,2600,D,0,D,,A,,A,,A,,A
20191,03893084,42,0,1,975,D,130,D,,A,325,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20191,03893114,56,0,1,13000,D,3900,D,6500,D,6500,D,196,F,,A,,A,9100,D,1500,D,,A,,A,,A,,A
20191,03893144,19,0,1,507,D,0,D,,A,650,D,36,D,,A,,A,507,D,0,D,,A,,A,,A,,A
20191,03893164,22,0,1,1300,D,455,D,,A,390,D,0,D,,A,,A,845,D,0,D,,A,,A,,A,,A
20191,03893184,28,0,1,650,D,195,D,,A,195,D,0,D,,A,,A,455,D,0,D,,A,,A,,A,,A
