NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03891134,1,0,0,2018,2017,5,.15300,.15300,1,.00000,.15000,33,D,.06450,.06450,55000,D,0,D,0,D,0,D,0,D,0,D,19464,D,0,D,0,D,0,D,3,D,3,D,3,D,0,D,2343,2209,2343,0,2209,1180,8415,8415,73720,73720,73720,71922,3000,6000,0,0,0,0,0,0,73720,73720,0,0,5343,6806,5343,6806,11200,11200,0,0,0,0,0,0,0,0,0
03891154,1,0,0,2018,2017,2,.15300,.15300,2,-.5500,-.5500,44,D,.00000,.00000,0,D,12000,D,0,D,0,D,0,D,0,D,0,D,1200,D,0,D,0,D,2,D,2,D,2,D,0,D,-6150,0,-6150,-6225,0,0,1836,1836,12000,12000,0,0,0,0,1350,1425,0,0,4800,4800,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03891174,1,50,0,2018,2017,2,.15300,.15300,1,.15980,.15980,22,D,.08390,.08390,19000,D,0,D,0,D,0,D,0,D,0,D,0,D,3600,D,3,D,0,D,0,D,1,D,1,D,5268,D,-4295,-679,-4295,-4807,-679,-725,2907,2907,19000,19000,19000,18537,0,100,1000,1400,0,0,3295,3407,19000,19000,0,0,0,100,0,100,0,0,0,0,0,0,0,0,758,764,0
03891224,1,56,0,2018,2017,2,.15300,.15300,2,.22000,.25000,0,T,.00000,.00000,93500,D,37000,D,0,D,0,D,0,D,0,D,0,D,1600,D,230,D,0,D,0,D,1,D,1,D,10828,D,16878,0,16878,12809,0,0,19967,19967,130500,130500,0,0,0,2000,0,0,0,0,0,0,130500,130500,0,0,16878,15309,16878,15309,0,0,0,0,0,0,0,0,0,0,0
03891234,1,0,0,2018,2017,1,.15300,.15300,1,.10000,.10000,33,D,.04900,.04900,27028,D,0,D,0,D,0,D,0,D,0,D,16256,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,958,451,958,403,451,430,4135,4135,27028,27028,27028,26369,0,0,0,0,0,0,0,0,27028,27028,0,0,958,903,958,903,11200,11200,0,0,0,0,0,0,0,0,0
03891244,1,0,62,2018,2017,0,.15300,.15300,2,.22000,.25000,01,D,.03490,.03370,23947,D,78116,D,0,D,0,D,0,D,0,D,0,D,390,D,60,D,0,D,0,D,0,D,0,D,0,D,11793,3871,11793,9053,3871,3991,15616,15616,102063,102063,102063,99574,0,0,0,0,0,0,0,0,102063,102063,0,0,11793,9053,11793,9053,4000,4000,8258,8056,0,0,0,0,0,0,0
03891244,2,0,0,2018,2017,0,.15300,.15300,1,.10000,.10000,01,D,.04490,.04500,16979,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,658,576,658,498,576,577,2598,2598,16979,16979,16979,16565,0,0,0,0,0,0,0,0,16979,16979,0,0,658,498,658,498,2500,2500,1299,1267,0,0,0,0,0,0,0
03891254,1,27,0,2018,2017,0,.15300,.15300,2,.07650,.07650,36,D,.02750,.02750,18240,D,0,D,0,D,0,D,0,D,0,D,10800,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,-180,80,-180,-208,80,71,2791,2791,18240,18240,18240,17795,0,0,0,0,0,0,180,208,18240,18240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0
03891284,1,0,0,2018,2017,0,.00000,.00000,1,.24000,.22680,05,D,.10250,.09300,0,D,0,D,28000,D,96956,D,0,D,0,D,0,D,10500,D,1776,D,0,D,0,D,0,D,0,D,15104,D,18675,6782,18675,19454,6782,7629,0,0,129956,129956,129956,126786,0,0,0,0,0,0,0,0,114852,116628,0,0,18675,19454,18675,19454,4236,4236,27380,17108,0,0,0,0,0,0,0
03891354,1,28,0,2018,2017,1,.15300,.15300,2,.25980,.25980,05,D,.00000,.00000,0,D,35000,D,0,D,0,D,0,D,0,D,14040,D,0,D,0,D,0,D,1,D,1,D,1,D,0,D,-1616,0,-1616,-2659,0,0,5355,5355,35000,35000,35000,34146,1000,1100,0,900,0,0,1631,1759,35000,35000,0,0,1015,1100,1015,1100,8472,8472,0,0,0,0,0,0,0,0,0
