QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20212,04421354,1,0,2,120,D,1,D,01,D,750,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421534,1,0,1,195,D,1,D,02,D,1089,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421834,1,0,1,220,D,1,D,03,D,,H,,A,,H,120,D,140,D,160,D,100,D,,A,,A,,A,,A,,A
20212,04421834,1,1,1,120,D,1,D,03,D,158,E,,A,95,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421834,1,2,1,140,D,1,D,03,D,1502,E,,A,75,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421834,1,3,1,160,D,1,D,03,D,1194,E,,A,130,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421834,1,4,1,100,D,1,D,03,D,946,E,,A,100,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,1,0,1,160,D,1,D,03,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422364,1,0,1,195,D,1,D,02,D,1400,F,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423354,1,0,2,195,D,1,D,01,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423434,1,0,1,100,D,1,D,03,D,438,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,1,0,1,120,D,1,D,03,D,625,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423994,1,0,1,195,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424544,1,0,1,100,D,1,D,03,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424964,1,0,1,140,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04425414,1,0,1,140,D,1,D,03,D,1952,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04425904,1,0,1,140,D,1,D,02,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04426044,1,0,1,160,D,1,D,03,D,566,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04426374,1,0,1,140,D,1,D,03,D,340,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04428684,1,0,1,210,D,1,D,01,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04429044,1,0,1,195,D,1,D,01,D,322,D,,A,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04429044,2,0,1,120,D,1,D,02,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04429044,3,0,1,140,D,1,D,01,D,161,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04429994,1,0,1,195,D,1,D,01,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04430654,1,0,2,140,D,1,D,01,D,606,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04431104,1,0,1,195,D,1,D,01,D,1480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04431754,1,0,1,120,D,1,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04462504,1,0,1,195,D,1,D,02,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04462814,1,0,1,140,D,1,D,04,D,500,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04462974,1,0,1,140,D,1,D,03,D,2800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04463254,1,0,1,160,D,1,D,04,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04463654,1,0,1,140,D,1,D,03,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04463674,1,0,1,140,D,1,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04464064,1,0,1,195,D,1,D,02,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04464094,1,0,1,220,D,1,D,04,D,,H,,A,,A,140,D,160,D,195,D,,A,,A,,A,,A,,A,,A
20212,04464094,1,1,1,140,D,1,D,04,D,2070,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04464094,1,2,1,160,D,1,D,04,D,1206,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04464094,1,3,1,195,D,1,D,04,D,1724,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04464384,1,0,1,140,D,1,D,03,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465064,1,0,1,195,D,1,D,04,D,1700,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465574,1,0,1,100,D,1,D,03,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465814,1,0,1,160,D,1,D,04,D,430,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465824,1,0,1,195,D,1,D,03,D,835,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465884,1,0,1,140,D,1,D,03,D,865,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465884,2,0,1,160,D,1,D,03,D,249,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465884,3,0,1,100,D,1,D,03,D,438,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04466214,1,0,1,140,D,1,D,02,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04466404,1,0,2,195,D,1,D,02,D,2446,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04466564,1,0,1,140,D,1,D,02,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04466564,2,0,1,195,D,1,D,04,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04466904,1,0,1,195,D,1,D,03,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04467044,1,0,1,195,D,1,D,03,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04467534,1,0,1,140,D,1,D,03,D,2353,D,,A,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04467554,1,0,1,120,D,1,D,04,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04467804,1,0,1,160,D,1,D,02,D,1334,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04468574,1,0,1,140,D,1,D,04,D,139,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04470304,1,0,1,140,D,1,D,04,D,1194,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04471004,1,0,1,195,D,1,D,03,D,2600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04471114,1,0,1,100,D,1,D,04,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04471154,1,0,1,195,D,1,D,04,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04471694,1,0,1,140,D,1,D,04,D,2000,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04471854,1,0,2,195,D,1,D,02,D,513,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04471854,2,0,2,195,D,1,D,02,D,1500,D,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04472104,1,0,1,100,D,1,D,04,D,595,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04472194,1,0,1,195,D,1,D,02,D,929,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04472304,1,0,1,195,D,1,D,04,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04472474,1,0,1,120,D,1,D,04,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04502994,1,0,1,120,D,1,D,05,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04503054,1,0,1,195,D,1,D,03,D,1200,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04503464,1,0,1,140,D,1,D,05,D,2200,F,,A,250,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04503884,1,0,1,140,D,1,D,05,D,79,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04503984,1,0,1,220,D,1,D,04,D,,H,,A,,A,140,D,195,D,,A,100,D,,A,,A,,A,,A,,A
20212,04503984,1,1,1,140,D,1,D,04,D,6656,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04503984,1,2,1,195,D,1,D,04,D,4437,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04504164,1,0,1,195,D,1,D,05,D,623,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04504464,1,0,1,140,D,1,D,05,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04504964,1,0,1,100,D,1,D,04,D,1000,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04504994,1,0,1,195,D,1,D,03,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04505004,1,0,1,140,D,1,D,05,D,2674,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04505034,1,0,1,195,D,1,D,05,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04506064,1,0,1,160,D,1,D,05,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04506064,2,0,1,180,D,1,D,05,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04506234,1,0,1,220,D,3,D,03,D,,H,,A,,A,220,D,100,D,,A,,A,,A,,A,,A,,A,,A
20212,04506234,1,1,1,100,D,3,D,03,D,120,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04506234,1,2,1,120,D,3,D,03,D,35,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04506234,1,3,1,195,D,3,D,03,D,345,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04506234,2,0,1,220,D,3,D,05,D,,H,,A,,A,220,D,195,D,,A,,A,,A,,A,,A,,A,,A
20212,04506234,2,1,1,120,D,3,D,05,D,47,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04506234,2,2,1,195,D,3,D,05,D,453,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04506854,1,0,1,195,D,1,D,04,D,868,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04507414,1,0,2,195,D,1,D,03,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04507954,1,0,1,120,D,1,D,03,D,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04508134,1,0,1,220,D,1,D,04,D,,H,,A,,A,100,D,140,D,120,D,,A,,A,,A,,A,,A,,A
20212,04508134,1,1,1,100,D,1,D,04,D,1088,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04508134,1,2,1,140,D,1,D,04,D,1728,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04508134,1,3,1,120,D,1,D,04,D,184,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04508324,1,0,1,140,D,1,D,05,D,811,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04508864,1,0,1,140,D,1,D,03,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04509624,1,0,1,195,D,1,D,04,D,707,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04509624,2,0,1,220,D,3,D,04,D,,H,,A,,A,120,D,140,D,,A,,A,,A,,A,,A,,A,,A
20212,04509624,2,1,1,120,D,3,D,04,D,23,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04509624,2,2,1,140,D,3,D,04,D,221,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04509904,1,0,2,195,D,1,D,03,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04510054,1,0,1,195,D,1,D,04,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04510494,1,0,1,140,D,1,D,03,D,1227,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04510494,2,0,1,170,D,1,D,03,D,1050,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04510494,3,0,1,180,D,1,D,03,D,205,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04510574,1,0,1,120,D,1,D,05,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04510814,1,0,1,100,D,1,D,03,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04511054,1,0,1,195,D,1,D,04,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04511784,1,0,1,140,D,1,D,04,D,2500,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04511784,2,0,1,160,D,1,D,05,D,800,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04512694,1,0,1,120,D,1,D,05,D,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04513044,1,0,1,195,D,1,D,03,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04514404,1,0,1,140,D,1,D,05,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544263,1,0,1,120,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544263,2,0,1,195,D,1,D,03,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544263,3,0,1,140,D,1,D,03,D,2070,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544523,1,0,1,120,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544553,1,0,1,195,D,1,D,01,D,578,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544563,1,0,1,140,D,1,D,02,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544593,1,0,1,220,D,1,D,03,D,,H,,A,,A,120,D,170,D,160,D,100,D,,A,,A,,A,,A,,A
20212,04544593,1,1,1,120,D,1,D,03,D,292,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544593,1,2,1,160,D,1,D,03,D,1155,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04544593,1,3,1,100,D,1,D,03,D,1153,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04545093,1,0,1,140,D,1,D,01,D,4339,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04545553,1,0,1,210,D,1,D,02,D,254,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04545723,1,0,2,120,D,1,D,01,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04546353,1,0,1,195,D,1,D,01,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04546853,1,0,1,180,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
