QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20212,04420494,1,0,1,370,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420574,2,0,1,450,D,1,D,03,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420834,1,0,1,380,D,1,D,03,D,287,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421024,2,0,1,380,D,1,D,02,D,175,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421214,1,0,1,470,D,1,D,03,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421214,2,0,1,450,D,1,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421674,3,0,1,380,D,1,D,03,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421954,3,0,1,450,D,1,D,03,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422064,2,0,1,380,D,1,D,03,D,328,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,4,0,1,380,D,1,D,03,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422504,2,0,1,380,D,1,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422864,4,0,1,370,D,1,D,02,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422864,5,0,1,380,D,1,D,03,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422874,1,0,1,370,D,1,D,03,D,850,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,1,0,1,470,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,2,0,2,450,D,1,D,01,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423344,1,0,1,380,D,1,D,01,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423344,2,0,1,380,D,1,D,02,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423344,3,0,1,380,D,1,D,03,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423424,1,0,1,380,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423424,2,0,1,380,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423424,3,0,1,380,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423494,1,0,1,380,D,1,D,01,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423494,2,0,1,380,D,1,D,01,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423674,1,0,1,380,D,2,D,02,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423744,1,0,1,370,D,2,D,02,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424104,1,0,1,460,D,1,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424234,2,0,1,370,D,1,D,02,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424404,4,0,1,380,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424484,2,0,1,120,D,1,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424684,1,0,2,380,D,1,D,01,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424784,2,0,1,380,D,1,D,03,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424964,5,0,1,450,D,1,D,03,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424984,3,0,1,470,D,1,D,02,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04425034,7,0,1,460,D,1,D,03,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04425774,1,0,1,380,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04427564,11,0,1,380,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04428274,1,0,1,470,D,1,D,02,D,104,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04428274,2,0,1,470,D,1,D,03,D,102,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
