QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20212,04420324,2,0,1,800,D,03,D,2800,D,2,D,1,D
20212,04420374,2,0,1,150,D,13,D,125,D,,A,,A
20212,04420424,7,0,1,800,D,01,D,600,D,2,D,2,D
20212,04420434,2,0,1,100,D,03,D,2800,D,,A,,A
20212,04420434,3,0,1,170,D,13,D,12,D,,A,,A
20212,04420434,4,0,1,800,D,03,D,4200,D,2,D,1,D
20212,04420484,2,0,1,150,D,13,D,100,D,,A,,A
20212,04420494,3,0,1,800,D,01,D,4200,D,2,D,3,D
20212,04420514,2,0,1,800,D,01,D,600,D,2,D,1,D
20212,04420514,3,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04420514,4,0,1,800,D,01,D,600,D,2,D,1,D
20212,04420514,5,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04420514,6,0,1,800,D,01,D,600,D,2,D,1,D
20212,04420514,7,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04420544,2,0,1,170,D,13,D,100,D,,A,,A
20212,04420544,3,0,1,160,D,13,D,50,D,,A,,A
20212,04420564,3,0,1,160,D,13,D,831,F,,A,,A
20212,04420564,4,0,1,800,D,02,D,2192,F,1,D,,C
20212,04420574,4,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04420594,2,0,1,800,D,03,D,2800,D,2,D,2,D
20212,04420604,3,0,1,800,D,01,D,1800,D,2,D,2,D
20212,04420604,4,0,1,800,D,03,D,5400,D,2,D,2,D
20212,04420624,6,0,1,800,D,01,D,1800,D,2,D,1,D
20212,04420624,7,0,1,800,D,01,D,4200,D,2,D,1,D
20212,04420644,2,0,1,160,D,13,D,150,D,,A,,A
20212,04420644,3,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04420674,2,0,1,800,D,01,D,2400,D,2,D,1,D
20212,04420704,4,0,1,170,D,02,D,10000,D,,A,,A
20212,04420704,5,0,1,800,D,01,D,600,D,3,D,1,D
20212,04420704,6,0,1,800,D,01,D,600,D,3,D,1,D
20212,04420704,7,0,1,800,D,03,D,1400,D,3,D,1,D
