QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEA,CRMC_DEA,ADVMATX,ADVMATX_,MATNSPCX,MATN_PCX,CRMCDA1,CRMCDA1_,CRMCDA2,CRMCDA2_,CRMCDA3,CRMCDA3_,CRMCDA4,CRMCDA4_,CRMCDA5,CRMCDA5_,CRMCDA6,CRMCDA6_,CRMCDA7,CRMCDA7_,CRMCDA8,CRMCDA8_,CRMCDA9,CRMCDA9_
20212,04420914,4,0,1,120,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,9,0,1,300,D,4500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421574,4,0,1,,A,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424404,8,0,1,140,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04424874,540,0,1,300,D,3200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04425774,6,0,1,130,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04426344,4,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04426404,5,0,1,175,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04427164,3,0,1,130,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04427434,7,0,1,300,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04429044,15,0,1,300,D,94,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04429294,3,0,1,280,D,328,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04429344,7,0,1,,A,,A,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04431524,4,0,1,130,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04431664,3,0,1,,A,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04461594,14,0,1,300,D,101,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04462334,4,0,1,300,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04463934,5,0,1,,A,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465024,8,0,1,190,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04465864,4,0,1,160,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04466344,4,0,1,310,D,,H,,A,310,D,175,D,,A,,A,,A,,A,,A,,A,,A
20212,04466344,4,1,1,175,D,48,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04466874,2,0,1,300,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04468794,5,0,1,130,D,2700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04468854,8,0,1,175,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04469794,5,0,1,260,D,1000,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04470654,5,0,1,,A,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04471524,6,0,1,300,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04471854,7,0,1,,A,,A,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04472314,2,0,1,,A,,A,6000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04503924,4,0,1,210,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04504644,5,0,1,175,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
