QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20212,04422434,17,0,5,01,D,100,D,.0662,D,75000,D,20,D,564,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,0,D,0,D,0,D,,A,03,D,2005,D,2,D,,A,24608,D,24179,D,23748,D,01,D,1,D,,A,,A,0,D,0,D,0,D,1,D,2,D
20212,04423094,34,0,5,01,D,100,D,.0475,D,30000,D,15,D,397,D,,B,,B,,B,,B,164,D,207,D,207,D,208,D,26,D,26,D,25,D,,A,07,D,2008,D,1,D,,A,6660,D,6453,D,6246,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04423954,26,0,5,01,D,100,D,.0800,D,21265,D,10,D,258,D,,A,,A,,A,,A,0,D,155,D,156,D,157,D,103,D,102,D,101,D,,A,06,D,2017,D,1,D,,A,15499,D,15344,D,15189,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04429804,25,0,5,01,D,100,D,.0529,F,220000,F,10,F,2365,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,0,F,0,F,0,F,,A,01,F,2018,F,2,F,,A,164074,F,162432,F,160784,F,01,D,,A,,A,,A,0,F,0,F,0,F,1,D,2,D
20212,04429844,47,0,5,01,D,100,D,.0386,D,4904,D,5,D,90,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,90,D,90,D,90,D,,A,10,D,2020,D,1,D,,A,4904,D,4904,D,4904,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20212,04430024,21,0,5,01,D,100,D,.0386,D,100000,D,1,D,8140,T,,C,,C,,C,,C,0,D,6229,T,6255,T,7443,T,216,D,189,D,162,D,,A,09,D,2020,D,1,D,,A,67092,D,58799,D,50479,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20212,04430924,20,0,5,01,D,100,D,.0400,D,30000,D,15,D,358,D,,B,,B,,B,,B,136,D,160,D,160,D,161,D,62,D,62,D,61,D,,A,04,D,2014,D,1,D,,A,18677,D,18517,D,18357,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04469514,22,0,5,01,D,100,D,.0569,D,60000,D,20,D,419,D,,A,,A,,A,,A,0,D,151,D,152,D,153,D,268,D,267,D,266,D,,A,01,D,2019,D,1,D,,A,56439,D,56288,D,56136,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04470194,32,0,5,01,D,100,D,.0475,F,50000,F,15,F,389,F,,A,,A,,A,,A,0,F,271,F,272,F,273,F,118,F,117,F,116,F,,A,11,F,2013,F,1,F,,A,29931,F,29661,F,29389,F,01,D,,A,,A,,A,133,F,133,F,133,F,1,D,2,D
20212,04470744,25,0,5,01,D,100,D,.0529,D,99000,D,15,D,798,D,,A,,A,,A,,A,0,D,1664,D,1672,D,1679,D,1570,D,1562,D,1555,D,,A,09,D,2018,D,2,D,,A,87843,D,87432,D,87020,D,01,D,1,D,,A,,A,3308,T,3308,T,3558,T,1,D,2,D
