QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20212,04420704,21,0,5,01,D,105,D,2021,D,,A,36,D,01,D,540,D,3,D,,A,5000,D,4000,D,,A,,A,540,D,540,D,540,D,,A,,A,,A,4000,D,,A,D,,A,2021,D,DOD
20212,04421354,16,0,5,01,D,105,D,2019,D,,A,,C,10,D,365,D,3,D,,A,,A,1900,D,,A,,A,365,D,365,D,365,D,,A,,A,,A,1900,D,,A,D,,A,2018,D,SUB
20212,04421464,6,0,5,01,D,105,D,2018,D,,A,36,D,08,D,350,D,3,D,,A,2000,D,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2018,D,TOY
20212,04421634,14,0,5,01,D,105,D,2017,D,,A,36,D,06,D,,C,3,D,,A,,A,,A,,A,01,D,739,F,,A,,A,,A,,A,,A,,A,,A,D,,A,2018,D,HON
20212,04421794,10,0,5,01,D,105,D,2013,D,,A,48,D,07,F,580,D,3,D,,A,,A,,A,,A,,A,580,D,580,D,580,D,,A,,A,,A,,A,,A,D,,A,2017,D,NIS
20212,04422734,10,0,1,01,D,105,D,2019,D,,A,36,D,02,D,400,D,3,D,,A,,A,,A,,A,,A,400,D,400,D,400,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20212,04423044,26,0,5,01,D,105,D,2019,D,,A,,C,06,F,447,D,3,D,,A,,A,,A,,A,,A,447,D,447,D,447,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20212,04423344,11,0,5,01,D,105,D,2020,D,,A,36,D,07,D,219,D,3,D,,A,,A,725,D,,A,,A,219,D,219,D,219,D,,A,,A,,A,725,D,,A,D,,A,2020,D,KIA
20212,04423424,25,0,5,01,D,105,D,2018,D,,A,36,D,04,D,265,D,3,D,,A,,A,,A,,A,02,D,265,D,265,D,,A,,A,,A,,A,,A,,A,D,,A,2018,D,NIS
20212,04423424,26,0,1,02,D,105,D,2019,D,,A,36,D,02,D,299,D,3,D,,A,,A,,A,,A,,A,,A,299,D,299,D,,A,,A,,A,,A,,A,D,,A,2021,D,NIS
