QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_
20212,04420324,14,0,1,160,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420374,25,0,1,170,D,13,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420374,26,0,1,370,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420374,27,0,1,250,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420374,28,0,2,250,D,01,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420424,21,0,2,260,D,01,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420434,17,0,1,370,D,13,D,1,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420434,18,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420444,12,0,1,360,D,03,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420444,13,0,1,170,D,01,D,1,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420494,16,0,1,340,D,01,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420504,5,0,1,240,D,13,D,1,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420514,14,0,1,260,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420544,12,0,1,390,D,13,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420544,13,0,1,100,D,13,D,1,D,357,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420624,16,0,1,160,D,01,D,1,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420624,17,0,1,260,D,01,D,1,D,266,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420644,12,0,1,140,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420644,13,0,1,340,D,03,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420674,8,0,1,160,D,03,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420674,9,0,1,170,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420704,24,0,1,370,D,13,D,1,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420704,25,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420704,26,0,1,250,D,03,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420704,27,0,2,260,D,01,D,1,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420754,15,0,1,140,D,02,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420754,16,0,1,260,D,03,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420754,17,0,1,260,D,03,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420814,7,0,1,140,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420854,15,0,1,230,D,13,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420854,16,0,1,340,D,02,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420914,10,0,1,160,D,03,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04420914,11,0,1,330,D,02,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421004,15,0,1,160,D,02,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421004,16,0,1,110,D,13,D,1,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421044,19,0,1,240,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,27,0,1,150,D,03,D,1,D,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,28,0,1,150,D,02,D,1,D,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,29,0,1,180,D,03,D,1,D,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421094,30,0,1,240,D,03,D,2,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,27,0,1,160,D,01,D,1,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,28,0,1,380,D,01,D,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,29,0,1,340,D,01,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,30,0,1,340,D,02,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,31,0,1,340,D,03,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421194,32,0,1,240,D,13,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421214,20,0,1,140,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421214,21,0,1,180,D,03,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421214,22,0,1,210,D,03,D,1,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421214,23,0,1,210,D,03,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,37,0,1,140,D,02,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,38,0,1,170,D,02,D,1,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,39,0,1,170,D,03,D,1,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,40,0,1,225,D,02,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,41,0,1,225,D,03,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,42,0,1,340,D,01,D,1,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,43,0,1,340,D,02,D,1,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421234,44,0,1,340,D,03,D,1,D,166,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421284,6,0,1,140,D,02,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421284,7,0,1,160,D,03,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,19,0,1,160,D,03,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,20,0,1,240,D,03,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421354,21,0,1,250,D,13,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421374,8,0,1,225,D,13,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421494,21,0,1,140,D,01,D,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421494,22,0,1,160,D,03,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421494,23,0,1,390,D,01,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421494,24,0,1,390,D,01,D,2,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421534,22,0,1,340,D,03,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421574,20,0,1,460,D,01,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421574,21,0,1,460,D,02,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421574,22,0,1,460,D,03,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421624,7,0,1,390,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421634,23,0,1,260,D,02,D,1,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421634,24,0,1,260,D,03,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421644,8,0,1,140,D,02,D,1,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421664,38,0,1,140,D,02,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421664,39,0,1,210,D,02,D,1,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421674,19,0,1,160,D,03,D,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421674,20,0,1,330,D,03,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421794,13,0,1,330,D,01,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421794,14,0,1,240,D,03,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421834,14,0,1,160,D,02,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421834,15,0,1,260,D,13,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421864,16,0,1,420,D,03,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421864,17,0,1,460,D,02,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,18,0,1,140,D,13,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,19,0,1,160,D,02,D,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,20,0,1,180,D,03,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,21,0,1,400,D,02,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,22,0,1,390,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421874,23,0,1,460,D,02,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421914,16,0,1,140,D,02,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421914,17,0,1,240,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421914,18,0,1,250,D,13,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,21,0,1,260,D,01,D,1,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,22,0,1,260,D,02,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,23,0,1,260,D,03,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,24,0,1,240,D,01,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,25,0,1,240,D,02,D,1,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421934,26,0,1,240,D,03,D,1,D,36,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421944,17,0,1,390,D,13,D,1,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421944,18,0,1,340,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421944,19,0,1,340,D,03,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04421954,19,0,1,140,D,03,D,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422044,23,0,1,160,D,03,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422044,24,0,1,240,D,03,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422094,10,0,1,380,D,13,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422094,11,0,1,240,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422094,12,0,1,250,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422134,16,0,1,170,D,13,D,1,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,27,0,1,140,D,02,D,2,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,28,0,1,380,D,13,D,1,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,29,0,1,180,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,30,0,1,260,D,01,D,1,D,254,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,31,0,1,260,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,32,0,1,260,D,03,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,33,0,2,260,D,01,D,1,D,172,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422184,34,0,2,260,D,01,D,1,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422264,24,0,1,140,D,13,D,1,D,90,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422264,25,0,1,380,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422314,18,0,1,380,D,13,D,1,D,587,T,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422314,19,0,1,260,D,02,D,1,D,632,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422364,17,0,2,380,D,01,D,1,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422434,13,0,1,170,D,13,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422444,14,0,1,390,D,13,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422444,15,0,1,460,D,03,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422484,9,0,1,160,D,02,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422484,10,0,1,390,D,13,D,1,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422504,29,0,1,390,D,03,D,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422504,30,0,1,330,D,03,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422504,31,0,1,330,D,03,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422504,32,0,1,225,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422504,33,0,1,110,D,02,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422634,11,0,1,160,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422654,20,0,1,380,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422654,21,0,1,160,D,01,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422654,22,0,1,160,D,01,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422804,28,0,1,160,D,03,D,1,D,525,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422804,29,0,1,390,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422834,12,0,1,160,D,03,D,1,D,285,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422844,23,0,1,140,D,13,D,1,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422844,24,0,1,370,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422844,25,0,1,180,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422844,26,0,1,240,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422844,27,0,1,240,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422864,34,0,1,140,D,03,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422864,35,0,1,240,D,13,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422874,8,0,1,240,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04422884,14,0,1,170,D,03,D,1,D,62,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,29,0,1,140,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,30,0,1,170,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,31,0,1,340,D,02,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,32,0,1,240,D,13,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,33,0,1,250,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,34,0,1,260,D,02,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423044,35,0,2,340,D,01,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423094,30,0,1,240,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423224,19,0,1,150,D,01,D,1,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423284,18,0,1,370,D,02,D,1,D,206,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423294,12,0,1,240,D,13,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423304,11,0,1,340,D,02,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423344,17,0,1,170,D,03,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423344,18,0,1,250,D,13,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423354,12,0,1,170,D,13,D,1,D,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423354,13,0,1,390,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423434,16,0,1,330,D,03,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423454,14,0,2,260,D,01,D,1,D,340,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423464,24,0,1,140,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423464,25,0,1,330,D,01,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423464,26,0,1,330,D,02,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423464,27,0,1,345,D,03,D,1,D,,H,340,D,330,D,,A,,A,,A,,A,,A,,A,,A
20212,04423464,27,1,1,340,D,03,D,1,D,48,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423464,27,2,1,330,D,03,D,1,D,52,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423474,20,0,1,265,D,13,D,1,D,,H,260,D,250,D,240,D,,A,,A,,A,,A,,A,,A
20212,04423474,20,1,1,260,D,13,D,1,D,61,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423474,20,2,1,250,D,13,D,1,D,16,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423474,20,3,1,240,D,13,D,1,D,12,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423494,29,0,1,170,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423494,30,0,1,370,D,13,D,1,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423514,8,0,1,260,D,01,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423624,18,0,1,170,D,13,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423624,19,0,1,260,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423664,15,0,1,150,D,13,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423664,16,0,1,150,D,02,D,1,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423744,10,0,1,380,D,13,D,1,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423764,14,0,1,160,D,02,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04423884,26,0,1,140,D,01,D,2,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
