QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VEHICYC,VEHICYC_,VEHDISP,VEHDISP_,VDISPMO,VDISPMO_,SALEX,SALEX_,REIMBURX,REIM_URX,EXREIMBX,EXRE_MBX,LOANSTAT,LOAN_TAT,FINPAYMX,FINP_YMX,VEHICIC,VEHICIC_
20212,04420374,41,0,2,110,D,2,D,01,D,,A,,A,,A,2,D,,A,03,D
20212,04421134,24,0,1,100,D,3,D,02,D,,A,,A,,A,2,D,,A,02,D
20212,04421354,31,0,1,100,D,6,D,01,D,,A,,A,,A,,C,,A,02,D
20212,04421644,11,0,1,100,D,4,D,02,D,,A,,A,,A,2,D,,A,01,D
20212,04422604,27,0,1,100,D,2,D,01,D,,A,,A,,A,1,D,,A,01,D
20212,04422844,50,0,1,135,D,1,D,03,D,28000,D,,A,,A,2,D,,A,05,D
20212,04422844,51,0,1,120,D,6,D,03,D,,A,,A,,A,2,D,,A,06,D
20212,04423094,49,0,1,110,D,2,D,01,D,,A,,A,,A,2,D,,A,01,D
20212,04423094,50,0,1,110,D,6,D,01,D,,A,,A,,A,1,D,,A,02,D
20212,04423094,51,0,1,100,D,2,D,01,D,,A,,A,,A,2,D,,A,03,D
20212,04423094,52,0,1,110,D,6,D,01,D,,A,,A,,A,2,D,,A,04,D
20212,04424384,22,0,1,110,D,2,D,02,D,,A,,A,,A,2,D,,A,02,D
20212,04424754,24,0,1,110,D,2,D,01,D,,A,,A,,A,2,D,,A,02,D
20212,04424904,18,0,1,100,D,2,D,03,D,,A,,A,,A,2,D,,A,01,D
20212,04425024,30,0,1,100,D,2,D,02,D,,A,,A,,A,2,D,,A,03,D
20212,04426104,38,0,1,100,D,1,D,02,D,5000,D,,A,,A,2,D,,A,02,D
20212,04426374,36,0,1,110,D,2,D,02,D,,A,,A,,A,2,D,,A,02,D
20212,04427414,22,0,1,110,D,1,D,01,D,2000,D,,A,,A,2,D,,A,02,D
20212,04427564,57,0,1,110,D,2,D,02,D,,A,,A,,A,2,D,,A,01,D
20212,04427634,25,0,2,110,D,2,D,01,D,,A,,A,,A,1,D,,A,01,D
20212,04428504,42,0,1,110,D,3,D,03,D,,A,,A,,A,2,D,,A,05,D
20212,04429614,20,0,1,100,D,2,D,01,D,,A,,A,,A,2,D,,A,01,D
20212,04429944,25,0,1,110,D,4,D,02,D,,A,33000,D,,A,1,D,20000,D,02,D
20212,04429944,26,0,2,110,D,6,D,01,D,,A,,A,,A,2,D,,A,05,D
20212,04429994,34,0,1,110,D,6,D,01,D,,A,,A,,A,2,D,,A,01,D
20212,04431544,46,0,2,110,D,3,D,01,D,,A,,A,,A,2,D,,A,02,D
20212,04461874,32,0,1,110,D,3,D,02,D,,A,,A,,A,2,D,,A,01,D
20212,04461874,33,0,1,180,D,3,D,02,D,,A,,A,,A,2,D,,A,03,D
20212,04463934,32,0,1,110,D,2,D,03,D,,A,,A,,A,2,D,,A,01,D
20212,04466124,30,0,1,110,D,2,D,02,D,,A,,A,,A,2,D,,A,01,D
