QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_
20212,04420374,42,0,1,800,D,1,D,2500,D,13,D
20212,04420374,43,0,1,830,D,1,D,150,D,13,D
20212,04420374,44,0,1,840,D,1,D,55,D,02,D
20212,04420404,17,0,1,840,D,1,D,13,D,01,D
20212,04420404,18,0,1,840,D,1,D,13,D,02,D
20212,04420404,19,0,1,840,D,1,D,13,D,03,D
20212,04420404,20,0,1,330,D,1,D,13,D,13,D
20212,04420424,35,0,1,340,D,1,D,50,D,03,D
20212,04420434,28,0,1,700,D,1,D,7,D,13,D
20212,04420434,29,0,1,355,D,1,D,30,D,13,D
20212,04420444,26,0,1,355,D,1,D,5,D,13,D
20212,04420484,15,0,1,830,D,1,D,25,D,13,D
20212,04420494,27,0,1,355,D,1,D,16,D,13,D
20212,04420494,28,0,1,355,D,1,D,5,D,13,D
20212,04420504,7,0,1,840,D,1,D,99,D,03,D
20212,04420544,19,0,1,150,D,1,D,25,F,13,D
20212,04420544,20,0,2,150,D,1,D,9,F,01,D
20212,04420544,21,0,2,150,D,1,D,30,F,01,D
20212,04420574,15,0,1,355,D,1,D,30,D,13,D
20212,04420624,21,0,1,210,D,1,D,17,D,03,D
20212,04420624,22,0,1,210,D,1,D,39,D,02,D
20212,04420624,23,0,1,330,D,1,D,35,D,13,D
20212,04420624,24,0,1,355,D,1,D,25,D,01,D
20212,04420624,25,0,1,355,D,1,D,15,D,02,D
20212,04420624,26,0,1,355,D,1,D,7,D,03,D
20212,04420624,27,0,1,370,D,1,D,557,D,01,D
20212,04420624,28,0,1,370,D,1,D,316,D,02,D
20212,04420624,29,0,1,370,D,1,D,472,D,03,D
20212,04420644,17,0,1,830,D,1,D,20,D,13,D
20212,04420644,18,0,1,355,D,1,D,20,D,13,D
20212,04420644,19,0,1,355,D,1,D,10,D,13,D
20212,04420644,20,0,1,355,D,1,D,10,D,13,D
20212,04420674,20,0,1,840,D,1,D,130,D,01,D
20212,04420674,21,0,1,355,D,1,D,15,D,13,D
20212,04420704,42,0,1,810,D,1,D,225,D,03,D
20212,04420704,43,0,1,355,D,1,D,10,D,13,D
20212,04420704,44,0,1,355,D,1,D,25,D,13,D
20212,04420724,25,0,1,355,D,1,D,15,D,13,D
20212,04420754,30,0,1,700,D,1,D,23,D,02,D
20212,04420814,14,0,1,210,D,1,D,50,D,13,D
20212,04420914,21,0,1,310,D,1,D,20,D,03,D
20212,04420914,22,0,1,355,D,1,D,14,D,13,D
20212,04420914,23,0,1,355,D,1,D,20,D,13,D
20212,04421024,18,0,1,150,D,1,D,1,D,13,D
20212,04421044,32,0,1,840,D,1,D,20,D,02,D
20212,04421044,33,0,1,840,D,1,D,20,D,03,D
20212,04421044,34,0,1,320,D,1,D,20,D,03,D
20212,04421044,35,0,1,330,D,1,D,10,D,13,D
20212,04421044,36,0,1,355,D,1,D,13,D,13,D
20212,04421044,37,0,1,355,D,1,D,15,D,13,D
20212,04421044,38,0,1,370,D,1,D,75,D,02,D
20212,04421044,39,0,2,840,D,1,D,13,D,01,D
20212,04421094,38,0,1,210,D,1,D,30,D,01,D
20212,04421094,39,0,1,210,D,1,D,30,D,03,D
20212,04421094,40,0,1,530,D,1,D,20,D,03,D
20212,04421194,47,0,1,830,D,1,D,40,D,13,D
20212,04421194,48,0,1,700,D,1,D,20,D,13,D
20212,04421214,28,0,1,810,D,1,D,100,D,01,D
20212,04421214,29,0,1,150,D,1,D,30,D,13,D
20212,04421214,30,0,1,150,D,1,D,10,D,13,D
20212,04421214,31,0,1,150,D,1,D,50,D,01,D
20212,04421214,32,0,1,210,D,1,D,25,D,13,D
20212,04421214,33,0,1,355,D,1,D,14,D,13,D
20212,04421214,34,0,1,355,D,1,D,5,D,02,D
20212,04421214,35,0,2,150,D,1,D,30,D,01,D
20212,04421214,36,0,2,150,D,1,D,50,D,01,D
20212,04421214,37,0,2,150,D,1,D,10,D,01,D
20212,04421234,56,0,1,830,D,1,D,50,D,13,D
20212,04421234,57,0,1,830,D,1,D,99,D,13,D
20212,04421234,58,0,1,610,D,1,D,79,D,03,D
20212,04421234,59,0,1,840,D,1,D,60,D,03,D
20212,04421234,60,0,1,530,D,1,D,75,D,01,D
20212,04421234,61,0,1,150,D,1,D,39,D,03,D
20212,04421234,62,0,1,210,D,1,D,12,D,01,D
20212,04421234,63,0,1,210,D,1,D,28,D,02,D
20212,04421234,64,0,1,310,D,1,D,30,D,02,D
20212,04421234,65,0,1,310,D,1,D,71,D,03,D
20212,04421464,16,0,1,830,D,1,D,40,D,13,D
20212,04421494,30,0,1,150,D,1,D,4,D,13,D
20212,04421494,31,0,1,330,D,1,D,10,D,13,D
20212,04421494,32,0,1,355,D,1,D,10,D,13,D
20212,04421494,33,0,1,355,D,1,D,6,D,13,D
20212,04421644,13,0,1,320,D,1,D,10,F,01,D
20212,04421664,47,0,1,830,D,1,D,28,D,13,D
20212,04421664,48,0,1,610,D,1,D,97,D,01,D
20212,04421664,49,0,1,150,D,1,D,159,D,01,D
20212,04421664,50,0,1,150,D,1,D,120,D,03,D
20212,04421664,51,0,1,150,D,1,D,50,D,01,D
20212,04421664,52,0,1,210,D,1,D,475,D,02,D
20212,04421664,53,0,1,340,D,1,D,135,D,02,D
20212,04421664,54,0,1,330,D,1,D,11,D,13,D
20212,04421664,55,0,1,355,D,1,D,24,D,13,D
20212,04421664,56,0,1,355,D,1,D,99,D,03,D
20212,04421664,57,0,1,355,D,1,D,36,D,02,D
20212,04421674,32,0,1,830,D,1,D,25,D,13,D
20212,04421674,33,0,1,840,D,1,D,220,D,03,D
20212,04421674,34,0,1,310,D,1,D,120,D,02,D
20212,04421674,35,0,1,330,D,1,D,5,D,03,D
20212,04421674,36,0,2,210,D,1,D,23,D,01,D
20212,04421794,16,0,1,355,D,1,D,10,D,13,D
20212,04421874,33,0,1,210,D,1,D,50,D,13,D
20212,04421874,34,0,1,700,D,1,D,20,D,13,D
20212,04421874,35,0,1,355,D,1,D,5,D,13,D
20212,04421874,36,0,1,355,D,1,D,14,D,13,D
20212,04421914,30,0,1,800,D,1,D,500,D,13,D
20212,04421914,31,0,1,210,D,1,D,5,D,13,D
20212,04421914,32,0,1,330,D,1,D,9,D,13,D
20212,04421914,33,0,1,340,D,1,D,15,D,01,D
20212,04421914,34,0,1,340,D,1,D,15,D,02,D
20212,04421914,35,0,1,340,D,1,D,15,D,03,D
20212,04421914,36,0,1,355,D,1,D,12,D,13,D
20212,04421914,37,0,1,355,D,1,D,6,D,13,D
20212,04421914,38,0,1,380,D,1,D,20,D,13,D
20212,04421934,35,0,1,150,D,1,D,160,D,01,D
20212,04421934,36,0,1,340,D,1,D,100,D,03,D
20212,04421944,27,0,1,830,D,1,D,25,D,13,D
20212,04421954,28,0,1,830,D,1,D,32,D,13,D
20212,04421954,29,0,1,340,D,1,D,20,D,03,D
20212,04421974,10,0,1,330,D,1,D,11,D,13,D
20212,04421974,11,0,1,355,D,1,D,15,D,13,D
20212,04421974,12,0,1,355,D,1,D,8,D,13,D
20212,04421984,31,0,1,210,D,1,D,17,D,13,D
20212,04422024,14,0,1,830,D,1,D,125,D,13,D
20212,04422024,15,0,1,355,D,1,D,15,D,13,D
20212,04422024,16,0,1,330,D,1,D,13,D,13,D
20212,04422034,21,0,1,830,D,1,D,19,D,13,D
20212,04422034,22,0,1,330,D,1,D,10,D,13,D
