NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04609844,1,35,32,2021,2020,0,.15300,.15300,2,.12000,.12000,33,D,.05900,.05900,23133,D,23682,D,0,D,0,D,0,D,0,D,0,D,5500,D,0,D,0,D,0,D,0,D,0,D,2292,D,2218,1345,2247,2208,1371,1336,7163,7163,46815,46815,46815,45673,0,0,0,0,0,0,0,0,46815,46815,0,0,2247,2208,2247,2208,16050,16050,7792,7602,0,0,0,0,0,0,0
04609854,1,33,33,2021,2020,1,.15300,.15300,2,.27000,.22000,21,D,.04750,.04750,0,D,151000,D,0,D,0,D,0,D,0,D,0,D,3500,D,70,D,0,D,1,D,1,D,1,D,9852,D,17318,6751,18026,17082,6761,6747,21454,21975,154100,154100,152900,149141,2000,2795,0,2795,0,0,0,0,154100,154100,0,0,20026,19877,20026,19877,4650,4650,0,0,0,0,0,0,0,0,0
04609874,1,36,0,2021,2020,0,.15300,.15300,1,.22000,.22000,05,D,.10250,.10250,100000,D,0,D,0,D,0,D,0,D,0,D,0,D,10000,D,0,D,0,D,0,D,0,D,0,D,11664,D,11893,4152,11924,11882,4214,4131,15300,15300,95000,95000,95000,92683,0,0,0,0,0,0,0,0,83336,83336,0,0,11924,11882,11924,11882,4601,4601,17483,17137,0,0,0,0,0,0,0
04609874,2,63,0,2021,2020,0,.15300,.15300,1,.12000,.12000,05,D,.04000,.04000,36000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2620,604,2635,2615,619,599,5508,5508,36000,36000,36000,35122,0,0,0,0,0,0,0,0,36000,36000,0,0,2635,2615,2635,2615,4601,4601,0,0,0,0,0,0,0,0,0
04609944,1,42,0,2021,2020,0,.15300,.15300,1,.22000,.22000,44,D,.00000,.00000,74389,D,0,D,0,D,0,D,0,D,0,D,0,D,8200,D,0,D,0,D,0,D,0,D,0,D,1332,D,9372,0,9428,9353,0,0,11382,11382,74389,74389,0,0,0,0,0,0,0,0,0,0,74389,74389,0,0,9428,9353,9428,9353,0,0,0,0,0,0,0,0,0,0,0
04609954,1,75,79,2021,2020,2,.15300,.15300,2,.00000,.00000,0,T,.00000,.00000,0,D,0,D,0,D,4000,D,37200,D,0,D,0,D,1200,D,340,D,0,D,0,D,0,D,0,D,0,D,-750,0,0,-1000,0,0,0,0,4000,4000,0,0,0,1000,0,1000,0,0,0,0,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04609984,1,54,0,2021,2020,1,.15300,.15300,1,.22000,.22000,07,D,.11770,.06400,80000,D,0,D,0,D,0,D,0,D,0,D,0,D,5000,D,0,D,0,D,0,D,1,D,1,D,3156,D,5031,3502,5845,4760,3572,3478,12240,12240,80000,80000,80000,78049,2000,3000,0,3000,0,0,0,0,80000,80000,0,0,7845,7760,7845,7760,0,0,0,0,127,121,0,0,0,0,0
04609984,2,22,0,2021,2020,0,.15300,.15300,1,.10000,.10000,07,D,.01120,.01300,18295,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,578,18,590,575,21,16,2799,2799,18295,18295,18295,17849,0,0,0,0,0,0,0,0,18295,18295,0,0,590,575,590,575,0,0,0,0,0,0,0,0,0,0,0
04610004,1,78,0,2021,2020,1,.15300,.15300,1,.00000,.00000,23,D,.06250,.02980,0,D,0,D,0,D,0,D,18582,D,0,D,0,D,2100,D,0,D,0,D,0,D,0,D,0,D,5096,D,-375,-1517,0,-500,-1512,-1518,0,0,0,0,-20000,-20000,0,500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,1500,1469,0,0,0,0,0
04610014,1,33,0,2021,2020,0,.15300,.15300,1,.17650,.17650,0,T,.00000,.00000,14785,D,0,D,0,D,0,D,0,D,0,D,10740,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,139,0,159,132,0,0,2262,2262,14785,14785,0,0,0,0,0,0,0,0,79,91,14785,14785,0,0,239,224,239,224,0,0,0,0,0,0,0,0,0,0,0
04610024,1,33,30,2021,2020,1,.15300,.15300,2,.12000,.12000,19,D,.03520,.03520,36000,D,40457,D,0,D,0,D,0,D,0,D,10800,D,0,D,0,D,0,D,1,D,1,D,1,D,0,D,3025,2134,3804,2765,2206,2110,11698,11698,76457,76457,76457,74592,2000,3000,0,3000,0,0,0,0,76457,76457,0,0,5804,5765,5804,5765,0,0,0,0,0,0,0,0,0,0,0
04610034,1,59,0,2021,2020,0,.15300,.15300,1,.11320,.11320,17,D,.05700,.05700,50000,D,0,D,0,D,0,D,0,D,0,D,0,D,1700,D,193,D,0,D,0,D,0,D,0,D,10876,D,4087,1529,4087,4087,1537,1526,7650,7650,50012,50012,50012,48792,0,0,0,0,0,0,0,0,39136,39136,0,0,4087,4087,4087,4087,3000,3000,12769,12458,0,0,0,0,0,0,0
04610044,1,66,0,2021,2020,0,.15300,.15300,1,.00000,.00000,14,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,2052,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04610074,1,65,0,2021,2020,0,.15300,.15300,1,.00000,.00000,11,D,.00000,.00000,0,D,0,D,0,D,0,D,17382,D,0,D,11400,D,0,D,94,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900,5900,0,0,0,0,0,0,0,0,0
04610084,1,51,0,2021,2020,0,.15300,.15300,1,.22000,.22000,12,D,.08250,.08250,80648,D,0,D,0,D,0,D,0,D,0,D,29700,D,10800,D,52,D,0,D,0,D,0,D,0,D,9996,D,9264,4208,9295,9254,4224,4203,12339,12339,81384,81384,81384,79399,0,0,0,0,0,0,0,0,71388,71388,0,0,9295,9254,9295,9254,2200,2200,19996,19508,0,0,0,0,0,0,0
04610104,1,69,70,2021,2020,2,.15300,.15300,2,.00000,.00000,07,D,.00000,.00000,0,D,0,D,7200,D,0,D,42384,D,0,D,0,D,8900,D,6652,D,0,D,0,D,0,D,0,D,0,D,-750,0,0,-1000,0,0,0,0,7368,7368,7368,7188,0,1000,0,1000,0,0,0,0,7368,7368,0,0,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0
