QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX
20222,04815114,1,0,1,230,D,1,D,03,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815114,2,0,1,470,D,1,D,03,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815114,3,0,1,540,D,1,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,1,0,1,240,D,1,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,2,0,1,240,D,1,D,03,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,1,0,1,660,D,1,D,03,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,2,0,2,480,D,1,D,01,D,7000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815284,1,0,1,470,D,1,D,03,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815284,2,0,1,470,D,1,D,03,D,267,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815344,1,0,1,260,D,2,D,,A,,A,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815344,2,0,1,490,D,1,D,02,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815384,1,0,1,230,D,1,D,02,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815384,2,0,1,230,D,1,D,02,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815404,1,0,1,230,D,1,D,02,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,1,0,1,320,D,1,D,03,D,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,2,0,1,500,D,1,D,02,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,3,0,1,500,D,1,D,03,D,610,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815584,1,0,1,230,D,1,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815614,1,0,1,330,D,1,D,02,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815634,2,0,1,240,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815754,1,0,1,655,D,1,D,02,D,161,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815754,2,0,1,650,D,1,D,03,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815754,3,0,1,470,D,1,D,03,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815764,1,0,1,230,D,1,D,02,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815764,2,0,1,660,D,1,D,03,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815764,3,0,1,660,D,1,D,03,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815784,1,0,1,230,D,1,D,03,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815784,2,0,1,330,D,1,D,01,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815784,3,0,1,540,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815784,4,0,2,230,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815924,1,0,1,670,D,1,D,01,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04815924,2,0,1,425,D,1,D,02,D,237,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04815934,1,0,1,230,D,1,D,01,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816104,1,0,1,530,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816114,1,0,1,330,D,1,D,01,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816114,2,0,1,330,D,1,D,02,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816114,3,0,1,330,D,1,D,03,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816224,1,0,1,700,D,1,D,01,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816224,2,0,1,320,D,1,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816274,1,0,1,365,D,1,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04816374,1,0,1,645,D,1,D,03,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816614,1,0,1,240,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816664,1,0,1,230,D,1,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816664,2,0,1,240,D,1,D,03,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816664,3,0,1,260,D,1,D,02,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816694,1,0,1,230,D,1,D,01,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816694,2,0,1,645,D,1,D,01,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04816704,1,0,1,480,D,1,D,02,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816704,2,0,2,320,D,1,D,01,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,1,0,1,640,D,1,D,03,D,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04816784,2,0,1,650,D,1,D,01,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,3,0,1,650,D,1,D,02,D,127,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,4,0,1,470,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816914,1,0,1,660,D,1,D,02,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816984,1,0,2,480,D,1,D,01,D,486,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816994,1,0,1,660,D,2,D,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816994,2,0,1,640,D,1,D,03,D,248,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04817024,1,0,1,650,D,1,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817114,1,0,1,640,D,1,D,03,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04817114,2,0,1,470,D,1,D,03,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817144,1,0,1,440,D,1,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04817294,1,0,1,660,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817344,1,0,1,640,D,1,D,03,D,349,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04817474,1,0,1,240,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817634,2,0,1,640,D,1,D,03,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817654,1,0,1,230,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817654,2,0,2,640,D,1,D,01,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04817684,1,0,1,660,D,1,D,03,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817684,2,0,2,660,D,1,D,01,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817684,3,0,2,660,D,1,D,01,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817774,1,0,1,480,D,1,D,03,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817864,1,0,1,270,D,1,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817864,2,0,1,460,D,1,D,01,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817864,3,0,1,470,D,1,D,02,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817874,1,0,1,470,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817944,1,0,1,230,D,1,D,02,D,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817964,2,0,1,230,D,1,D,03,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817964,3,0,1,660,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817974,1,0,1,240,D,1,D,01,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,1,0,1,230,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,2,0,1,240,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,3,0,1,240,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,4,0,1,660,D,1,D,01,D,528,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,5,0,1,330,D,1,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818024,6,0,1,320,D,1,D,03,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818064,1,0,1,230,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,1,0,1,230,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,2,0,1,260,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,3,0,1,655,D,1,D,03,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,4,0,1,645,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,5,0,1,660,D,1,D,02,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818084,6,0,1,350,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818154,1,0,1,660,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818154,2,0,1,480,D,1,D,01,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818194,1,0,1,645,D,1,D,03,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818244,1,0,1,230,D,1,D,02,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818244,2,0,1,320,D,1,D,02,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818324,1,0,1,365,D,1,D,02,D,248,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,24,D
20222,04818394,1,0,1,260,D,1,D,02,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818394,2,0,1,640,D,1,D,03,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04818394,3,0,1,645,D,1,D,03,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818464,1,0,1,650,D,1,D,01,D,134,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818464,2,0,1,320,D,1,D,01,D,106,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818484,1,0,1,310,D,1,D,03,D,187,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818624,1,0,1,540,D,1,D,03,D,1787,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818944,1,0,1,470,D,1,D,01,D,117,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818944,2,0,1,470,D,1,D,01,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819064,1,0,1,640,D,1,D,01,D,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04819064,2,0,1,750,D,1,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819064,3,0,1,660,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,1,0,1,650,D,1,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,2,0,1,330,D,1,D,01,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,3,0,1,470,D,1,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,4,0,1,520,D,1,D,02,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,5,0,1,520,D,1,D,02,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819174,1,0,1,230,D,1,D,01,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819174,2,0,1,645,D,1,D,03,D,19,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819174,3,0,1,425,D,1,D,03,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04819174,4,0,2,660,D,1,D,01,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819204,1,0,1,645,D,1,D,02,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819204,2,0,1,640,D,1,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04819204,3,0,1,660,D,1,D,01,D,2200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819204,4,0,1,470,D,1,D,03,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819324,1,0,1,365,D,1,D,02,D,380,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04819394,1,0,1,655,D,1,D,01,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819394,3,0,1,655,D,1,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819394,4,0,1,650,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819534,1,0,1,365,D,1,D,02,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04819584,1,0,1,640,D,1,D,03,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04819584,2,0,1,900,D,1,D,03,D,,H,,A,640,D,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819584,2,1,1,640,D,1,D,03,D,1221,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819584,2,2,1,650,D,1,D,03,D,179,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819584,4,0,2,650,D,1,D,01,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819584,5,0,2,650,D,1,D,01,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819734,1,0,1,470,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819824,1,0,1,310,D,1,D,03,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819844,1,0,1,240,D,1,D,03,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819844,2,0,1,460,D,1,D,02,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819854,1,0,1,645,D,1,D,01,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819874,1,0,1,650,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819874,2,0,1,310,D,1,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819894,1,0,1,655,D,1,D,03,D,239,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819904,1,0,1,470,D,1,D,02,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819964,2,0,1,470,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820034,1,0,1,645,D,1,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820034,15,0,1,650,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820044,1,0,1,645,D,1,D,02,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820064,1,0,1,365,D,1,D,03,D,340,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04820104,1,0,1,500,D,1,D,01,D,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820224,3,0,1,320,D,1,D,01,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820234,1,0,1,230,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820234,2,0,1,645,D,1,D,02,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820234,3,0,1,480,D,1,D,02,D,81,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820364,1,0,1,240,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820364,2,0,1,350,D,1,D,02,D,217,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820404,1,0,1,660,D,1,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820444,2,0,1,660,D,1,D,01,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
