NEWID,SEQNO,ALCNO,ADLTCLOX,ADLT_LOX,CHLDCLOX,CHLD_LOX,CLOGFTX,CLOGFTX_,QYEAR,REC_STAT
04815104,1,0,240,D,,A,0,D,20222,1
04815114,4,0,200,D,,A,300,D,20222,1
04815124,2,0,3000,D,,A,0,D,20222,1
04815134,1,0,0,D,,A,0,D,20222,1
04815154,1,0,0,D,,A,100,D,20222,1
04815204,3,0,140,D,,A,0,D,20222,1
04815264,4,0,6700,D,2400,D,0,D,20222,1
04815284,3,0,400,D,60,D,0,D,20222,1
04815324,1,0,100,F,,A,250,F,20222,1
04815334,1,0,250,D,,A,240,D,20222,1
04815344,3,0,180,D,60,D,0,D,20222,1
04815384,3,0,100,D,40,D,0,D,20222,1
04815404,2,0,200,D,,A,0,D,20222,1
04815424,1,0,50,D,,A,0,D,20222,1
04815434,1,0,0,D,,A,0,D,20222,1
04815454,1,0,0,D,0,D,0,D,20222,1
04815474,4,0,200,D,,A,0,D,20222,1
04815544,1,0,0,D,0,D,0,D,20222,1
04815584,2,0,500,D,200,F,0,D,20222,1
04815614,2,0,450,D,,A,2,D,20222,1
04815634,3,0,200,D,100,D,25,D,20222,1
04815714,1,0,250,D,150,D,135,D,20222,1
04815754,4,0,80,D,,A,0,D,20222,1
04815764,4,0,300,D,150,D,0,D,20222,1
04815784,6,0,600,D,300,D,200,D,20222,1
04815814,1,0,0,D,150,D,50,D,20222,1
04815834,1,0,100,D,,A,0,D,20222,1
04815914,1,0,0,D,,A,0,D,20222,1
04815924,3,0,100,D,300,D,300,D,20222,1
04815934,2,0,12,D,,A,10,D,20222,1
04815944,1,0,0,D,0,D,0,D,20222,1
04816004,1,0,0,D,,A,0,D,20222,1
04816024,1,0,50,D,,A,0,D,20222,1
04816064,1,0,150,D,,A,0,D,20222,1
04816104,2,0,0,D,0,D,0,D,20222,1
04816114,4,0,0,D,,A,0,D,20222,1
04816134,1,0,0,D,,A,0,D,20222,1
04816184,1,0,100,D,,A,300,D,20222,1
04816224,3,0,120,D,,A,0,D,20222,1
04816274,2,0,600,D,800,D,0,D,20222,1
04816314,1,0,40,D,,A,0,D,20222,1
04816364,1,0,0,D,0,D,0,D,20222,1
04816374,2,0,0,D,0,D,0,D,20222,1
04816394,1,0,0,D,,A,0,D,20222,1
04816424,1,0,0,D,,A,0,D,20222,1
04816464,1,0,0,D,,A,0,D,20222,1
04816474,1,0,0,D,,A,0,D,20222,1
04816484,1,0,0,D,,A,0,D,20222,1
04816514,1,0,0,D,,A,0,D,20222,1
04816524,1,0,0,D,,A,0,D,20222,1
04816544,2,0,0,D,300,D,0,D,20222,1
04816554,1,0,0,D,,A,0,D,20222,1
04816574,1,0,100,D,50,D,0,D,20222,1
04816614,2,0,100,D,,A,0,D,20222,1
04816664,4,0,200,D,100,D,0,D,20222,1
04816694,3,0,300,D,75,D,0,D,20222,1
04816704,3,0,0,D,15,D,0,D,20222,1
04816724,2,0,0,D,,A,0,D,20222,1
04816784,5,0,0,D,53,D,0,D,20222,1
04816914,2,0,200,D,100,D,0,D,20222,1
04816934,1,0,150,D,350,D,0,D,20222,1
04816984,2,0,250,D,,A,0,D,20222,1
04816994,3,0,250,D,,A,0,D,20222,1
04817024,2,0,0,D,,A,0,D,20222,1
04817034,1,0,30,D,,A,30,D,20222,1
04817054,1,0,150,D,20,D,0,D,20222,1
04817064,1,0,100,D,,A,0,D,20222,1
04817114,3,0,0,D,0,D,0,D,20222,1
04817134,1,0,0,D,,A,0,D,20222,1
04817144,2,0,40,D,,A,0,D,20222,1
04817224,1,0,0,D,200,D,0,D,20222,1
04817274,2,0,200,D,100,D,0,D,20222,1
04817294,2,0,600,D,400,D,0,D,20222,1
04817314,1,0,40,D,,A,0,D,20222,1
04817344,2,0,0,D,150,D,0,D,20222,1
04817354,1,0,0,D,0,D,0,D,20222,1
04817364,1,0,300,D,,A,0,D,20222,1
04817394,1,0,100,D,300,D,100,D,20222,1
04817404,1,0,70,D,100,D,0,D,20222,1
04817434,1,0,170,D,,A,0,D,20222,1
04817464,1,0,600,D,,A,0,D,20222,1
04817474,2,0,400,D,0,D,0,D,20222,1
04817494,1,0,700,D,,A,0,D,20222,1
04817534,1,0,0,D,,A,0,D,20222,1
04817634,3,0,0,D,0,D,0,D,20222,1
04817654,3,0,0,D,,A,0,D,20222,1
04817674,1,0,600,D,,A,0,D,20222,1
04817684,6,0,32,D,,A,0,D,20222,1
04817714,1,0,150,D,,A,0,D,20222,1
04817754,1,0,500,D,700,D,200,D,20222,1
04817774,2,0,300,D,,A,0,D,20222,1
04817844,1,0,0,D,,A,0,D,20222,1
04817854,1,0,0,D,,A,0,D,20222,1
04817864,4,0,0,D,100,D,0,D,20222,1
04817874,2,0,400,D,400,D,0,D,20222,1
04817894,1,0,200,D,,A,0,D,20222,1
04817914,1,0,100,D,,A,20,D,20222,1
04817944,3,0,40,D,,A,0,D,20222,1
04817964,5,0,100,D,,A,0,D,20222,1
04817974,3,0,100,D,100,D,50,D,20222,1
04817984,1,0,0,D,,A,0,D,20222,1
04818024,7,0,400,D,,A,0,D,20222,1
04818064,3,0,300,D,,A,0,D,20222,1
04818084,9,0,7000,D,,A,200,D,20222,1
04818114,1,0,0,D,,A,0,D,20222,1
04818144,2,0,0,D,,A,0,D,20222,1
04818154,5,0,900,D,,A,150,D,20222,1
04818184,1,0,0,D,0,D,0,D,20222,1
04818194,2,0,0,D,,A,0,D,20222,1
04818244,3,0,150,D,,A,0,D,20222,1
04818324,2,0,0,D,,A,0,D,20222,1
04818394,4,0,0,D,,A,0,D,20222,1
04818464,3,0,450,D,,A,150,D,20222,1
04818484,2,0,200,D,200,D,0,D,20222,1
04818494,1,0,0,D,,A,0,D,20222,1
04818504,1,0,0,D,0,D,0,D,20222,1
04818514,1,0,300,D,400,D,0,D,20222,1
04818574,1,0,0,D,,A,0,D,20222,1
04818614,1,0,50,D,,A,0,D,20222,1
04818624,2,0,0,D,,A,0,D,20222,1
04818654,1,0,55,D,,A,30,D,20222,1
04818734,1,0,300,D,500,D,0,D,20222,1
04818744,1,0,650,D,150,D,0,D,20222,1
04818814,1,0,0,D,,A,0,D,20222,1
04818844,1,0,0,D,,A,0,D,20222,1
04818894,1,0,125,D,0,D,0,D,20222,1
04818944,3,0,0,D,0,D,0,D,20222,1
04818974,1,0,25,D,,A,0,D,20222,1
04818994,2,0,450,D,250,D,0,D,20222,1
04819044,1,0,150,D,,A,0,D,20222,1
04819064,5,0,300,D,,A,125,D,20222,1
04819074,1,0,40,D,,A,0,D,20222,1
04819104,1,0,90,D,,A,0,D,20222,1
04819154,7,0,240,D,90,D,0,D,20222,1
04819174,5,0,1000,D,,A,200,D,20222,1
04819204,5,0,180,D,200,D,50,D,20222,1
04819244,1,0,350,D,250,D,0,D,20222,1
04819284,1,0,200,D,,A,0,D,20222,1
04819324,2,0,90,D,,A,0,D,20222,1
04819394,5,0,300,D,300,D,0,D,20222,1
04819414,1,0,60,D,,A,0,D,20222,1
04819454,1,0,130,D,400,D,100,D,20222,1
04819494,1,0,50,D,,A,0,D,20222,1
04819514,1,0,125,D,,A,0,D,20222,1
04819534,2,0,100,D,,A,150,D,20222,1
04819544,1,0,75,D,,A,75,D,20222,1
04819554,1,0,160,D,,A,60,D,20222,1
04819584,6,0,150,D,,A,0,D,20222,1
04819604,1,0,120,D,,A,0,D,20222,1
04819614,1,0,0,D,,A,0,D,20222,1
04819634,1,0,150,D,150,D,0,D,20222,1
04819644,1,0,0,D,,A,0,D,20222,1
04819674,1,0,0,D,,A,0,D,20222,1
04819704,1,0,0,D,,A,0,D,20222,1
04819734,2,0,200,D,200,D,0,D,20222,1
04819744,2,0,75,D,,A,0,D,20222,1
04819774,1,0,0,D,,A,0,D,20222,1
04819804,1,0,100,D,,A,0,D,20222,1
04819824,2,0,0,D,,A,0,D,20222,1
04819844,3,0,25,D,,A,0,D,20222,1
04819854,3,0,40,D,,A,0,D,20222,1
04819874,3,0,14,D,,A,0,D,20222,1
04819884,1,0,200,D,,A,0,D,20222,1
04819894,2,0,143,D,600,D,0,D,20222,1
04819904,2,0,0,D,0,D,0,D,20222,1
04819964,3,0,600,D,,A,0,D,20222,1
04820024,1,0,90,D,,A,0,D,20222,1
04820034,2,0,0,D,,A,0,D,20222,1
04820044,2,0,0,D,,A,0,D,20222,1
04820054,1,0,0,D,,A,40,D,20222,1
04820064,4,0,128,D,,A,0,D,20222,1
04820104,3,0,500,D,,A,100,D,20222,1
04820114,1,0,0,D,,A,0,D,20222,1
04820124,1,0,1200,D,,A,0,D,20222,1
04820164,1,0,500,D,150,D,0,D,20222,1
04820214,1,0,50,D,70,D,0,D,20222,1
04820224,4,0,100,D,,A,0,D,20222,1
04820234,4,0,410,D,,A,81,D,20222,1
04820254,1,0,40,D,,A,100,D,20222,1
04820324,1,0,200,D,100,D,0,D,20222,1
04820364,4,0,200,D,,A,0,D,20222,1
04820374,1,0,0,D,0,D,0,D,20222,1
04820404,2,0,50,D,,A,0,D,20222,1
04820434,1,0,800,D,,A,0,D,20222,1
04820444,6,0,3500,D,,A,0,D,20222,1
04820474,1,0,0,D,0,D,0,D,20222,1
04820514,1,0,200,D,,A,50,D,20222,1
04820574,1,0,134,D,,A,0,D,20222,1
04820604,1,0,84,D,,A,0,D,20222,1
04820644,1,0,0,D,,A,0,D,20222,1
04820664,2,0,2800,D,,A,0,D,20222,1
04820674,2,0,0,D,350,D,0,D,20222,1
04820714,1,0,0,D,,A,0,D,20222,1
04820724,1,0,15,D,,A,0,D,20222,1
04820734,7,0,0,D,275,D,0,D,20222,1
04820754,1,0,50,D,,A,40,D,20222,1
04820764,1,0,100,D,100,D,0,D,20222,1
04820774,3,0,0,D,0,D,0,D,20222,1
04820784,1,0,150,D,,A,0,D,20222,1
04820844,1,0,100,D,150,D,0,D,20222,1
04820874,1,0,35,D,,A,0,D,20222,1
04820884,1,0,0,D,,A,0,D,20222,1
04820894,1,0,0,D,0,D,0,D,20222,1
04820904,1,0,9,D,,A,0,D,20222,1
04820944,5,0,700,D,,A,0,D,20222,1
04821004,1,0,0,D,,A,0,D,20222,1
04821034,1,0,100,D,100,D,0,D,20222,1
04821054,1,0,600,D,0,D,0,D,20222,1
04821094,1,0,0,D,,A,0,D,20222,1
04821104,1,0,40,D,,A,0,D,20222,1
04821114,3,0,200,D,,A,0,D,20222,1
04821124,2,0,0,D,,A,0,D,20222,1
04821134,3,0,0,D,,A,0,D,20222,1
04821154,2,0,200,D,200,D,200,D,20222,1
04821224,1,0,0,D,,A,0,D,20222,1
04821234,1,0,0,D,,A,0,D,20222,1
04821254,1,0,0,D,,A,20,D,20222,1
04821274,1,0,0,D,,A,0,D,20222,1
04821334,1,0,0,D,0,D,0,D,20222,1
04821374,1,0,400,D,,A,0,D,20222,1
04821434,1,0,0,D,,A,0,D,20222,1
04821454,3,0,0,D,,A,0,D,20222,1
04821474,2,0,1500,D,500,D,0,D,20222,1
04821494,2,0,150,D,150,D,0,D,20222,1
04821504,2,0,200,D,,A,0,D,20222,1
04821534,1,0,78,D,0,D,0,D,20222,1
04821564,1,0,100,D,100,D,20,D,20222,1
04821584,1,0,110,D,,A,200,D,20222,1
04821634,2,0,750,D,,A,500,D,20222,1
04821794,2,0,0,D,,A,160,D,20222,1
04821804,1,0,210,D,99,D,0,D,20222,1
04821814,1,0,240,D,,A,0,D,20222,1
04821864,2,0,0,D,125,D,0,D,20222,1
04821884,2,0,500,D,,A,0,D,20222,1
04821914,2,0,150,D,,A,0,D,20222,1
04821924,1,0,0,D,,A,0,D,20222,1
04821934,1,0,200,D,300,D,0,D,20222,1
04821974,3,0,400,D,150,D,0,D,20222,1
04821984,1,0,250,D,,A,0,D,20222,1
04821994,1,0,300,D,,A,0,D,20222,1
04822024,2,0,60,D,,A,0,D,20222,1
04822034,5,0,0,D,,A,0,D,20222,1
04822064,3,0,0,D,,A,0,D,20222,1
04822104,2,0,600,D,,A,0,D,20222,1
04822124,2,0,70,D,,A,0,D,20222,1
04822134,1,0,0,D,,A,0,D,20222,1
04822144,1,0,0,D,,A,0,D,20222,1
04822194,1,0,200,D,210,D,0,D,20222,1
04822214,11,0,400,D,250,D,0,D,20222,1
04822264,1,0,100,D,,A,0,D,20222,1
04822284,1,0,200,D,200,D,0,D,20222,1
04822314,1,0,400,D,,A,0,D,20222,1
04822354,1,0,200,D,400,D,0,D,20222,1
04822404,1,0,0,D,0,D,0,D,20222,1
04822424,4,0,0,D,0,D,0,D,20222,1
04822464,1,0,0,D,0,D,0,D,20222,1
04822534,2,0,71,D,,A,40,F,20222,1
04822574,2,0,300,D,,A,0,D,20222,1
04822584,2,0,150,D,,A,25,D,20222,1
04822624,2,0,0,D,,A,0,D,20222,1
04822684,1,0,0,D,0,D,0,D,20222,1
04822714,2,0,300,D,0,D,50,D,20222,1
04822734,3,0,0,D,200,D,534,D,20222,1
04822764,1,0,500,D,425,D,200,D,20222,1
04822774,11,0,0,D,,A,0,D,20222,1
04822784,1,0,0,D,,A,0,D,20222,1
04822804,1,0,0,D,,A,0,D,20222,1
04822854,2,0,350,D,,A,0,D,20222,1
04822864,3,0,0,D,,A,0,D,20222,1
04822894,1,0,0,D,,A,0,D,20222,1
04822904,1,0,50,D,,A,0,D,20222,1
04822934,2,0,60,D,60,D,0,D,20222,1
04822944,1,0,600,D,,A,300,D,20222,1
04822964,1,0,0,D,,A,0,D,20222,1
04822994,1,0,100,D,340,D,0,D,20222,1
04823004,1,0,125,D,75,D,0,D,20222,1
04823024,6,0,100,D,100,D,0,D,20222,1
04823034,3,0,800,D,600,D,0,D,20222,1
04823044,1,0,0,D,,A,0,D,20222,1
04823054,3,0,350,D,,A,0,D,20222,1
04823074,2,0,0,D,,A,0,D,20222,1
04823084,2,0,350,D,,A,50,D,20222,1
04823094,1,0,120,D,,A,0,D,20222,1
04823114,3,0,730,D,,A,0,D,20222,1
04823174,1,0,200,D,100,D,40,D,20222,1
04823184,1,0,0,D,20,D,0,D,20222,1
04823194,2,0,30,D,,A,0,D,20222,1
04823214,3,0,212,D,100,D,0,D,20222,1
04823234,1,0,0,D,,A,0,D,20222,1
04823264,2,0,300,D,,A,0,D,20222,1
04823274,2,0,0,D,30,D,0,D,20222,1
04823284,1,0,0,D,0,D,0,D,20222,1
04823304,2,0,700,D,,A,0,D,20222,1
04823344,1,0,0,D,,A,0,D,20222,1
04823384,1,0,0,D,,A,0,D,20222,1
04823394,3,0,500,D,,A,300,D,20222,1
04823494,3,0,300,F,,A,100,F,20222,1
04823524,1,0,0,D,,A,0,D,20222,1
04823544,2,0,6,D,80,D,0,D,20222,1
04823554,1,0,50,D,,A,0,D,20222,1
04823564,4,0,500,D,250,D,0,D,20222,1
04823574,1,0,50,D,100,D,0,D,20222,1
04823584,1,0,0,D,,A,0,D,20222,1
04823594,3,0,700,D,900,D,0,D,20222,1
