QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20222,04815114,5,0,1,160,D,13,D,5,D
20222,04815124,3,0,1,170,D,03,D,125,D
20222,04815204,4,0,1,170,D,03,D,100,D
20222,04815204,5,0,1,150,D,03,D,800,D
20222,04815264,5,0,1,130,D,03,D,125000,D
20222,04815264,6,0,1,130,D,03,D,100000,D
20222,04815264,7,0,1,160,D,01,D,1000,D
20222,04815324,2,0,1,150,D,02,D,254,F
20222,04815324,3,0,1,160,D,01,D,223,F
20222,04815384,4,0,1,110,D,13,D,400,D
20222,04815404,3,0,1,150,D,13,D,150,D
20222,04815454,2,0,1,150,D,13,D,1100,D
20222,04815474,5,0,1,170,D,01,D,25,D
20222,04815474,6,0,1,170,D,02,D,50,D
20222,04815474,7,0,1,170,D,03,D,50,D
20222,04815474,8,0,1,160,D,03,D,600,D
20222,04815754,5,0,1,170,D,13,D,150,D
20222,04815754,6,0,1,150,D,13,D,450,D
20222,04815764,5,0,1,170,D,01,D,50,D
20222,04815814,2,0,1,160,D,03,D,40,D
20222,04815814,3,0,1,160,D,02,D,20,D
20222,04815924,4,0,1,170,D,02,D,30,D
20222,04815924,5,0,1,160,D,02,D,90,D
20222,04816134,2,0,1,150,D,13,D,20,D
20222,04816184,2,0,1,110,D,13,D,1060,D
20222,04816224,4,0,1,160,D,01,D,460,D
20222,04816314,2,0,2,170,D,01,D,100,D
20222,04816514,2,0,1,160,D,13,D,200,D
20222,04816544,3,0,1,150,D,13,D,15,D
20222,04816574,2,0,2,160,D,01,D,300,D
20222,04816704,4,0,1,170,D,03,D,60,D
20222,04816704,5,0,1,110,D,13,D,234,D
20222,04816704,6,0,1,160,D,03,D,35,D
20222,04816704,7,0,1,160,D,03,D,25,D
20222,04816704,8,0,1,160,D,03,D,35,D
20222,04816724,3,0,1,170,D,02,D,30,D
20222,04816994,4,0,1,150,D,13,D,30,D
20222,04816994,5,0,1,160,D,13,D,10,D
20222,04816994,6,0,1,160,D,03,D,112,D
20222,04817024,3,0,1,160,D,02,D,5,D
20222,04817034,2,0,1,150,D,13,D,300,D
20222,04817064,2,0,1,160,D,13,D,150,D
20222,04817064,3,0,1,160,D,03,D,100,D
20222,04817064,4,0,1,160,D,01,D,100,D
20222,04817114,4,0,1,150,D,13,D,500,D
20222,04817224,2,0,1,130,D,01,D,250,D
20222,04817294,3,0,1,160,D,13,D,150,D
20222,04817294,4,0,1,150,D,13,D,100,D
20222,04817394,2,0,1,170,D,13,D,200,D
20222,04817394,3,0,1,150,D,13,D,50,D
20222,04817464,2,0,1,170,D,01,D,25,D
20222,04817464,3,0,1,170,D,02,D,135,D
20222,04817464,4,0,1,170,D,03,D,35,D
20222,04817464,5,0,1,150,D,01,D,22,D
20222,04817464,6,0,1,150,D,03,D,30,D
20222,04817494,2,0,1,170,D,03,D,205,D
20222,04817674,2,0,1,170,D,01,D,200,D
20222,04817674,3,0,1,160,D,13,D,180,D
20222,04817714,2,0,1,150,D,13,D,250,D
20222,04817754,2,0,1,110,D,13,D,900,D
20222,04817754,3,0,1,150,D,13,D,377,F
20222,04817774,3,0,1,170,D,03,D,600,D
20222,04817864,5,0,1,170,D,02,D,50,D
20222,04817874,3,0,1,160,D,03,D,300,D
20222,04817894,2,0,1,160,D,02,D,95,D
20222,04817894,3,0,1,160,D,03,D,95,D
20222,04817894,4,0,1,140,D,01,D,50,D
20222,04817894,5,0,1,160,D,02,D,50,D
20222,04817914,2,0,1,160,D,02,D,25,D
20222,04817914,3,0,1,160,D,03,D,25,D
20222,04817944,4,0,1,140,D,13,D,5,D
20222,04817964,6,0,1,150,D,02,D,50,D
20222,04818064,4,0,1,120,D,13,D,115,D
20222,04818064,5,0,1,150,D,13,D,500,D
20222,04818084,10,0,1,160,D,13,D,200,D
20222,04818114,2,0,1,150,D,13,D,700,D
20222,04818154,6,0,1,170,D,03,D,20,D
20222,04818194,3,0,1,160,D,03,D,49,D
20222,04818244,4,0,1,160,D,02,D,100,D
20222,04818464,4,0,1,170,D,01,D,300,D
20222,04818464,5,0,1,150,D,13,D,1000,D
20222,04818614,2,0,1,120,D,13,D,200,D
20222,04818614,3,0,1,160,D,01,D,50,D
20222,04818624,3,0,1,170,D,01,D,50,D
20222,04818624,4,0,1,170,D,03,D,105,D
20222,04818624,5,0,1,150,D,01,D,1375,D
20222,04818624,6,0,1,150,D,02,D,750,D
20222,04818624,7,0,1,150,D,03,D,1425,D
20222,04818624,8,0,1,150,D,03,D,1000,D
20222,04818624,9,0,1,160,D,01,D,1000,D
20222,04818894,2,0,1,150,D,13,D,800,D
20222,04818974,2,0,1,150,D,13,D,300,D
20222,04819064,6,0,1,170,D,13,D,160,D
20222,04819074,2,0,1,150,D,13,D,10,D
20222,04819104,2,0,1,150,D,13,D,254,F
20222,04819154,8,0,1,160,D,03,D,200,D
20222,04819154,9,0,1,160,D,03,D,100,D
20222,04819174,6,0,1,160,D,03,D,20,D
20222,04819204,6,0,1,160,D,03,D,80,D
20222,04819394,6,0,1,150,D,13,D,200,D
20222,04819394,7,0,1,160,D,13,D,50,D
20222,04819394,8,0,1,160,D,13,D,45,D
20222,04819454,2,0,1,160,D,13,D,100,D
20222,04819534,3,0,1,170,D,03,D,100,D
20222,04819544,2,0,1,170,D,01,D,1200,D
20222,04819614,2,0,1,150,D,13,D,5,D
20222,04819634,2,0,1,150,D,13,D,100,D
20222,04819674,2,0,2,160,D,01,D,100,D
20222,04819734,3,0,1,110,D,13,D,700,D
20222,04819734,4,0,1,150,D,13,D,150,D
20222,04819774,2,0,1,170,D,01,D,1,D
20222,04819774,3,0,1,170,D,02,D,250,D
20222,04819774,4,0,1,160,D,03,D,500,D
20222,04819824,3,0,1,170,D,03,D,200,D
20222,04819824,4,0,1,150,D,13,D,750,D
20222,04819824,5,0,1,150,D,03,D,1000,D
20222,04819844,4,0,1,140,D,01,D,25,D
20222,04819844,5,0,1,140,D,03,D,101,D
20222,04819844,6,0,1,160,D,01,D,50,D
20222,04819844,7,0,1,160,D,01,D,250,D
20222,04819844,8,0,1,160,D,01,D,100,D
20222,04819844,9,0,1,160,D,01,D,100,D
20222,04819844,10,0,1,160,D,01,D,50,D
20222,04819844,11,0,1,160,D,01,D,50,D
20222,04819844,12,0,1,160,D,01,D,100,D
20222,04819844,13,0,1,160,D,01,D,50,D
20222,04819854,4,0,1,170,D,03,D,1000,D
20222,04819854,5,0,1,130,D,03,D,1000,D
20222,04819854,6,0,1,150,D,01,D,675,D
20222,04819854,7,0,1,150,D,02,D,540,D
20222,04819854,8,0,1,150,D,03,D,540,D
20222,04819854,9,0,1,150,D,13,D,50,D
20222,04819854,10,0,1,150,D,03,D,300,D
20222,04819854,11,0,1,160,D,13,D,1435,D
20222,04819894,3,0,1,160,D,03,D,30,D
20222,04819894,4,0,1,160,D,01,D,75,D
20222,04820034,3,0,1,150,D,13,D,500,D
20222,04820034,4,0,1,160,D,13,D,300,D
20222,04820064,5,0,1,150,D,13,D,20,D
20222,04820124,2,0,1,160,D,13,D,400,D
20222,04820214,2,0,1,170,D,03,D,50,D
20222,04820214,3,0,1,150,D,01,D,3703,D
20222,04820224,5,0,1,160,D,01,D,2000,D
20222,04820234,5,0,1,170,D,03,D,150,D
20222,04820234,6,0,1,140,D,13,D,25,D
20222,04820234,7,0,1,140,D,13,D,10,D
20222,04820234,8,0,1,160,D,01,D,500,D
20222,04820234,9,0,1,160,D,01,D,16,D
20222,04820234,10,0,1,160,D,01,D,16,D
20222,04820234,11,0,1,160,D,01,D,20,D
20222,04820254,2,0,1,170,D,01,D,25,D
20222,04820254,3,0,1,150,D,13,D,60,D
20222,04820254,4,0,1,150,D,02,D,3500,D
20222,04820254,5,0,1,140,D,03,D,25,D
20222,04820254,6,0,1,140,D,01,D,25,D
20222,04820364,5,0,1,160,D,03,D,25,D
20222,04820644,2,0,1,150,D,13,D,20,D
20222,04820714,2,0,1,160,D,03,D,30,D
20222,04820724,2,0,1,170,D,03,D,50,D
20222,04820734,8,0,1,150,D,13,D,200,D
20222,04820754,2,0,1,170,D,13,D,20,D
20222,04820754,3,0,1,160,D,13,D,10,D
20222,04820764,2,0,1,100,D,13,D,200,D
20222,04820764,3,0,1,150,D,13,D,400,D
20222,04820784,2,0,1,150,D,13,D,60,D
20222,04820784,3,0,1,160,D,13,D,80,D
20222,04820874,2,0,1,150,D,13,D,60,D
20222,04820884,2,0,1,160,D,01,D,500,D
20222,04820944,6,0,1,150,D,13,D,200,D
20222,04821054,2,0,1,150,D,13,D,200,D
20222,04821094,2,0,1,150,D,02,D,240,D
20222,04821114,4,0,1,160,D,01,D,150,D
20222,04821224,2,0,1,150,D,13,D,80,D
20222,04821224,3,0,1,130,D,13,D,50,D
20222,04821234,2,0,1,150,D,13,D,45,D
20222,04821434,2,0,1,170,D,13,D,20,D
20222,04821434,3,0,1,150,D,13,D,20,D
20222,04821434,4,0,1,160,D,13,D,40,D
20222,04821534,2,0,1,150,D,13,D,100,D
20222,04821564,2,0,1,150,D,13,D,144,F
20222,04821584,2,0,1,160,D,03,D,600,D
20222,04821634,3,0,1,100,D,01,D,100,D
20222,04821634,4,0,1,150,D,13,D,100,D
20222,04821634,5,0,1,140,D,01,D,250,D
20222,04821634,6,0,1,160,D,01,D,50,D
20222,04821974,4,0,1,160,D,02,D,500,D
20222,04822024,3,0,1,140,D,02,D,35,D
20222,04822024,4,0,1,150,D,13,D,565,D
20222,04822034,6,0,1,150,D,13,D,80,D
20222,04822104,3,0,1,160,D,01,D,150,D
20222,04822124,3,0,1,150,D,03,D,40,D
20222,04822354,2,0,1,130,D,02,D,500,D
20222,04822404,2,0,1,160,D,13,D,50,D
20222,04822424,5,0,2,170,D,01,D,200,D
20222,04822534,3,0,1,110,D,13,D,373,F
20222,04822534,4,0,1,110,D,13,D,373,F
20222,04822584,3,0,1,160,D,13,D,250,D
20222,04822684,2,0,1,170,D,13,D,250,D
20222,04822684,3,0,2,170,D,01,D,250,D
20222,04822714,3,0,1,160,D,03,D,200,D
20222,04822734,4,0,1,110,D,13,D,300,D
20222,04822764,2,0,1,160,D,02,D,130,D
20222,04822774,12,0,1,150,D,13,D,25,D
20222,04822854,3,0,1,160,D,13,D,310,D
20222,04822894,2,0,1,160,D,13,D,36,D
20222,04822894,3,0,1,150,D,13,D,80,D
20222,04822994,2,0,1,150,D,13,D,394,F
20222,04823024,7,0,1,110,D,01,D,235,D
20222,04823024,8,0,1,110,D,02,D,235,D
20222,04823024,9,0,1,120,D,13,D,167,D
20222,04823044,2,0,1,150,D,13,D,800,D
20222,04823054,4,0,1,160,D,13,D,100,D
20222,04823084,3,0,1,150,D,13,D,870,D
20222,04823094,2,0,1,160,D,13,D,50,D
20222,04823174,2,0,1,150,D,01,D,40,D
20222,04823184,2,0,1,150,D,13,D,184,F
20222,04823214,4,0,1,150,D,13,D,60,D
20222,04823264,3,0,1,140,D,01,D,20,D
20222,04823304,3,0,1,160,D,03,D,25,D
20222,04823344,2,0,1,150,D,13,D,40,D
20222,04823554,2,0,1,160,D,13,D,50,D
20222,04823564,5,0,1,160,D,03,D,250,D
20222,04823564,6,0,1,160,D,02,D,300,D
20222,04823584,2,0,1,160,D,13,D,20,D
20222,04823584,3,0,1,160,D,03,D,241,D
20222,04823594,4,0,2,110,D,01,D,1,D
20222,04823634,5,0,1,170,D,03,D,300,D
20222,04823654,3,0,1,170,D,01,D,85,D
20222,04823654,4,0,1,150,D,13,D,100,D
20222,04823694,2,0,1,150,D,13,D,144,F
20222,04823764,5,0,1,150,D,13,D,130,D
20222,04823764,6,0,1,150,D,13,D,1675,D
20222,04823874,3,0,1,160,D,03,D,500,D
20222,04823884,6,0,1,150,D,13,D,1250,D
20222,04823894,8,0,1,170,D,03,D,100,D
20222,04823894,9,0,1,150,D,13,D,600,D
20222,04824084,2,0,1,150,D,13,D,50,D
20222,04824124,2,0,1,150,D,13,D,450,D
20222,04824144,3,0,1,100,D,01,D,200,D
20222,04824154,2,0,1,150,D,13,D,120,D
20222,04824264,2,0,1,160,D,13,D,5,D
20222,04824344,3,0,1,170,D,03,D,160,D
20222,04824374,7,0,1,170,D,01,D,20,D
20222,04824374,8,0,1,170,D,13,D,5,D
20222,04824474,3,0,1,170,D,02,D,150,D
20222,04824514,3,0,1,150,D,03,D,40,D
20222,04824604,6,0,1,170,D,03,D,300,D
20222,04824604,7,0,1,170,D,13,D,60,D
20222,04824604,8,0,1,150,D,13,D,1875,D
20222,04824614,2,0,1,160,D,13,D,15,D
20222,04824694,4,0,1,150,D,13,D,100,D
20222,04824704,3,0,1,160,D,13,D,200,D
20222,04824724,4,0,1,160,D,01,D,100,D
20222,04824744,2,0,1,150,D,13,D,750,D
20222,04824774,3,0,1,170,D,03,D,100,D
20222,04824774,4,0,1,160,D,02,D,300,D
20222,04824774,5,0,1,160,D,03,D,200,D
20222,04824794,7,0,1,150,D,13,D,100,D
20222,04824904,3,0,1,170,D,03,D,600,D
20222,04824924,2,0,1,160,D,13,D,75,D
20222,04824934,2,0,1,150,D,13,D,40,D
20222,04824954,2,0,1,150,D,13,D,150,D
20222,04824994,3,0,1,150,D,13,D,80,D
20222,04824994,4,0,1,160,D,13,D,10,D
20222,04825024,3,0,1,110,D,13,D,400,D
20222,04825184,7,0,1,100,D,01,D,100,D
20222,04825184,8,0,1,100,D,02,D,100,D
20222,04825184,9,0,1,100,D,03,D,100,D
20222,04825184,10,0,1,150,D,13,D,20,D
20222,04825204,4,0,1,160,D,03,D,3000,D
20222,04825214,2,0,1,110,D,13,D,500,D
20222,04825224,3,0,1,170,D,13,D,60,D
20222,04825224,4,0,1,150,D,13,D,600,D
20222,04825234,4,0,1,130,D,01,D,20,D
20222,04825234,5,0,1,150,D,13,D,200,D
20222,04825264,3,0,1,160,D,13,D,5,D
20222,04825294,2,0,1,160,D,13,D,7,D
20222,04825294,3,0,1,160,D,03,D,30,D
20222,04825294,4,0,1,160,D,03,D,30,D
20222,04825364,2,0,1,100,D,02,D,150,D
20222,04825364,3,0,1,100,D,03,D,200,D
20222,04825364,4,0,1,150,D,13,D,60,D
20222,04825364,5,0,2,100,D,01,D,100,D
20222,04825434,9,0,1,170,D,03,D,20,D
20222,04825444,5,0,1,150,D,13,D,800,D
20222,04825444,6,0,1,160,D,13,D,400,D
20222,04825454,3,0,1,150,D,13,D,50,D
20222,04825484,2,0,1,110,D,13,D,182,D
20222,04825584,2,0,1,160,D,01,D,10,D
20222,04825604,4,0,1,160,D,01,D,4000,D
20222,04825614,2,0,1,150,D,13,D,150,D
20222,04825654,3,0,1,150,D,13,D,350,D
20222,04825654,4,0,1,160,D,13,D,200,D
20222,04825694,2,0,1,170,D,03,D,300,D
20222,04825724,3,0,1,160,D,03,D,300,D
20222,04825734,2,0,1,160,D,02,D,200,D
20222,04825734,3,0,1,160,D,03,D,100,D
