QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20222,04815104,2,0,1,300,D,1,D,1,D,01,D,,A,4400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815104,3,0,2,360,D,1,D,1,D,01,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,12,0,1,300,D,1,D,1,D,03,D,,A,15000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,13,0,1,345,D,1,D,,A,03,D,,A,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815544,2,0,1,200,D,1,D,,A,13,D,,A,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815784,7,0,1,300,D,1,D,1,D,01,D,,A,3000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815924,7,0,1,358,D,1,D,,A,03,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816224,6,0,1,300,D,1,D,1,D,03,D,375,D,3225,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816224,7,0,1,300,D,1,D,1,D,03,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816224,8,0,1,355,D,1,D,1,D,01,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816514,3,0,1,300,D,1,D,1,D,01,D,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816664,5,0,1,200,D,1,D,,A,13,D,,A,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816784,6,0,1,360,D,1,D,2,D,02,D,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816934,2,0,1,358,D,1,D,,A,02,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817404,2,0,1,300,D,1,D,1,D,01,D,,A,1250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817434,2,0,1,355,D,1,D,1,D,01,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817674,4,0,1,300,D,1,D,1,D,01,D,,A,11000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817774,4,0,1,100,D,1,D,,A,03,D,,A,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817864,6,0,1,100,D,1,D,,A,02,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817864,7,0,1,100,D,1,D,,A,13,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818184,3,0,1,100,D,1,D,,A,02,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818734,3,0,1,100,D,1,D,,A,13,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818744,2,0,1,200,D,1,D,,A,13,D,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818894,3,0,1,355,D,1,D,2,D,01,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818944,4,0,1,100,D,1,D,,A,13,D,,A,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818994,3,0,1,200,D,1,D,,A,13,D,,A,840,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,11,0,1,300,D,1,D,6,D,02,D,,A,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,12,0,1,100,D,1,D,,A,02,D,,A,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819154,13,0,1,100,D,1,D,,A,03,D,,A,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819244,2,0,1,100,D,1,D,,A,13,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819394,11,0,1,300,D,1,D,2,D,03,D,,A,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819734,5,0,1,358,D,1,D,,A,01,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819894,5,0,1,360,D,1,D,1,D,01,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819904,3,0,1,300,D,1,D,6,D,13,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820024,2,0,1,320,D,1,D,,A,13,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820064,8,0,1,100,D,1,D,,A,01,D,,A,112,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820214,4,0,1,100,D,1,D,,A,13,D,,A,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820234,12,0,1,100,D,1,D,,A,02,D,,A,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820234,13,0,1,358,D,1,D,,A,02,D,,A,102,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820254,8,0,1,300,D,2,D,6,D,01,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820254,9,0,1,300,D,2,D,6,D,03,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820324,3,0,1,100,D,1,D,,A,13,D,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820324,4,0,1,100,D,1,D,,A,13,D,,A,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820434,2,0,1,300,D,1,D,1,D,03,D,,A,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820734,10,0,1,345,D,1,D,,A,13,D,,A,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820754,4,0,1,358,D,2,D,,A,13,D,,A,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820844,2,0,2,355,D,1,D,1,D,01,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821114,5,0,1,100,D,1,D,,A,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821474,4,0,1,100,D,1,D,,A,03,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821804,2,0,1,200,D,1,D,,A,13,D,,A,72,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821864,3,0,1,300,D,1,D,1,D,01,D,,A,1892,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822024,5,0,1,300,D,1,D,1,D,01,D,,A,1937,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822024,6,0,1,355,D,1,D,1,D,01,D,,A,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822024,7,0,1,355,D,1,D,1,D,02,D,,A,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822024,8,0,1,355,D,1,D,1,D,03,D,,A,73,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822034,7,0,1,360,D,1,D,5,D,01,D,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822034,8,0,1,300,D,1,D,1,F,01,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822214,12,0,1,200,D,1,D,,A,13,D,,A,520,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822684,4,0,2,360,D,1,D,2,D,01,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822714,4,0,1,380,D,1,D,,A,03,D,,A,,H,355,D,345,D,,A,,A,,A,,A,,A,,A,,A
20222,04822714,4,1,1,355,D,1,D,2,D,03,D,,A,25,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822714,4,2,1,345,D,1,D,,A,03,D,,A,75,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822944,2,0,1,300,D,1,D,1,D,01,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823004,2,0,1,355,D,1,D,1,D,01,D,,A,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823084,4,0,1,300,D,1,D,1,D,03,D,,A,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
