QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_
20222,04815264,14,0,1,190,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815404,4,0,1,190,D,13,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815454,3,0,1,190,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,10,0,1,110,D,02,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815614,3,0,1,210,D,13,D,,H,210,D,190,D,,A,,A,,A,,A,,A,,A,,A
20222,04815614,3,1,1,190,D,13,D,28,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815614,3,2,1,220,D,13,D,33,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816554,2,0,1,200,D,01,D,134,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816554,3,0,1,190,D,03,D,84,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816724,4,0,1,100,D,02,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816994,7,0,1,200,D,13,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817114,6,0,1,190,D,02,D,391,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817294,5,0,1,190,D,01,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817394,4,0,1,200,D,13,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817394,5,0,1,190,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817684,9,0,1,110,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817714,3,0,1,200,D,03,D,294,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817774,5,0,1,200,D,13,D,67,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817774,6,0,1,220,D,13,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817774,7,0,2,130,D,01,D,296,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817874,4,0,1,190,D,02,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817894,6,0,1,190,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04817894,7,0,2,190,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818064,7,0,1,190,D,02,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818194,4,0,1,110,D,02,D,78,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818244,7,0,1,110,D,02,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04818744,3,0,1,190,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819674,4,0,1,110,D,02,D,184,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819824,6,0,1,130,D,02,D,284,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04819844,15,0,1,110,D,01,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820054,2,0,1,200,D,02,D,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820104,5,0,1,110,D,13,D,97,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820124,4,0,1,190,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820224,8,0,1,190,D,01,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820234,14,0,1,220,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820234,15,0,1,220,D,13,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820234,16,0,1,220,D,13,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820404,3,0,1,200,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821114,6,0,1,190,D,13,D,148,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821434,6,0,1,190,D,13,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821934,2,0,1,100,D,01,D,235,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822134,2,0,2,190,D,01,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822214,13,0,1,130,D,03,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822354,3,0,1,110,D,02,D,322,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822584,4,0,1,130,D,02,D,540,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822764,4,0,1,190,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822774,16,0,1,110,D,01,D,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822774,17,0,1,190,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822774,18,0,1,200,D,01,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822854,4,0,1,190,D,03,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822994,3,0,1,190,D,03,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823194,4,0,1,130,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823194,5,0,1,190,D,03,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04823214,5,0,1,110,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824344,6,0,1,190,D,03,D,273,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824494,8,0,1,190,D,03,D,71,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825224,5,0,1,190,D,02,D,96,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825374,5,0,1,110,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825604,5,0,1,190,D,02,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825654,5,0,1,190,D,02,D,151,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825724,4,0,1,190,D,13,D,167,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825754,2,0,1,190,D,01,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825764,4,0,1,110,D,01,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825764,5,0,1,110,D,03,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,10,0,1,220,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,11,0,1,190,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826034,3,0,1,200,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
