QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNPURY,FURN_URY,FURNMO,FURNMO_,FURNGFTC,FURN_FTC,FURNPURX,FURN_URX,FRNPRY1,FRNPRY1_,FRNPRY2,FRNPRY2_,FRNPRY3,FRNPRY3_,FRNPRY4,FRNPRY4_,FRNPRY5,FRNPRY5_,FRNPRY6,FRNPRY6_,FRNPRY7,FRNPRY7_,FRNPRY8,FRNPRY8_,FRNPRY9,FRNPRY9_
20222,04815114,7,0,1,107,D,02,D,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815114,8,0,1,212,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,6,0,1,120,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,15,0,1,141,D,03,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,16,0,1,181,D,03,D,1,D,410,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,17,0,1,199,D,03,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,18,0,1,199,D,03,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,19,0,1,200,D,03,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815284,4,0,1,107,D,02,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815284,5,0,1,171,D,01,D,1,D,91,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815284,6,0,1,206,D,01,D,1,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815334,2,0,1,106,D,02,D,1,D,,H,101,D,100,D,,A,,A,,A,,A,,A,,A,,A
20222,04815334,2,1,1,101,D,02,D,1,D,260,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815334,2,2,1,100,D,02,D,1,D,640,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815334,3,0,1,171,D,02,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815334,4,0,1,180,D,02,D,1,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815344,4,0,1,200,D,02,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815404,5,0,1,102,D,01,D,1,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815404,6,0,1,140,D,01,D,1,D,216,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815404,7,0,1,180,D,03,D,1,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815404,8,0,2,140,D,01,D,1,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,11,0,1,130,D,02,D,2,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,12,0,1,212,D,03,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,13,0,2,180,D,01,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,14,0,2,212,D,01,D,1,D,171,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815544,3,0,1,100,D,02,D,1,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815614,4,0,1,120,D,02,D,1,D,4500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815634,5,0,1,201,D,03,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815754,7,0,1,181,D,03,D,1,D,161,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815784,8,0,1,141,D,03,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815814,4,0,1,173,D,03,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815924,8,0,1,121,D,03,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815924,9,0,1,181,D,02,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815934,3,0,1,196,D,01,D,1,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815934,4,0,1,201,D,01,D,1,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816224,9,0,1,150,D,01,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816224,10,0,1,171,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816224,11,0,1,180,D,03,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816514,4,0,1,107,D,03,D,1,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816544,4,0,1,130,D,03,D,1,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816544,5,0,1,205,D,01,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816614,4,0,1,200,D,03,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816664,6,0,1,121,D,02,D,1,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816664,7,0,1,196,D,01,D,1,D,128,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816694,4,0,1,121,D,02,D,1,D,162,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816694,5,0,1,196,D,03,D,1,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816694,6,0,1,205,D,02,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816704,10,0,1,102,D,03,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816704,11,0,1,212,D,03,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816704,12,0,1,215,D,03,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816724,5,0,1,101,D,01,D,1,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816914,3,0,1,204,D,02,D,1,D,,H,201,D,200,D,,A,,A,,A,,A,,A,,A,,A
20222,04816914,3,1,1,201,D,02,D,1,D,21,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04816914,3,2,1,200,D,02,D,1,D,49,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
