QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNRNTX,FURN_NTX,REPFURNX,REPF_RNX
20222,04832314,6,0,1,,A,150,D
20222,04836304,11,0,1,,A,125,D
20222,04836894,2,0,1,,A,,A
20222,04838434,11,0,1,,A,120,D
20222,04840964,12,0,1,,A,750,D
20222,04844324,2,0,1,,A,,A
20222,04845424,2,0,1,,A,,A
20222,04896593,3,0,1,598,D,,A
20222,04903783,5,0,1,,A,8,D
20222,04913703,7,0,1,,A,50,D
20222,04914753,6,0,1,,A,1100,D
20222,04916603,3,0,1,,A,2000,D
20222,04919493,13,0,1,,A,125,D
20222,04921643,18,0,1,,A,450,D
20222,04923423,6,0,1,,A,775,D
20222,04924133,8,0,1,,A,25,D
20222,04924983,3,0,1,600,D,,A
20222,04930173,2,0,1,294,D,,A
20222,04932162,8,0,1,,A,200,D
20222,04932512,15,0,1,,A,43,D
20222,04933942,2,0,1,2400,D,,A
20222,04936672,6,0,1,99,D,,A
20222,04942252,3,0,1,,A,800,D
20222,04943712,5,0,1,,A,40,D
20222,04946392,7,0,1,,A,250,D
20222,04947792,5,0,1,250,D,,A
20222,04949313,10,0,1,2000,D,,A
20222,04950733,4,0,1,,A,30,D
20222,04955392,2,0,1,,A,,A
20222,04961242,16,0,1,,A,700,D
20222,04961442,14,0,1,,A,400,D
20222,04962732,5,0,1,471,D,,A
20222,04963322,6,0,1,,A,20,D
20222,05014021,2,0,1,,A,,A
20222,05016131,18,0,1,,A,15,D
20222,05017721,6,0,1,500,D,,A
20222,05018851,26,0,1,,A,100,D
20222,05022811,4,0,1,,A,10,D
20222,05024321,7,0,1,850,D,,A
20222,05028951,4,0,1,150,D,,A
20222,05030191,3,0,1,,A,4,D
20222,05031201,9,0,1,414,D,,A
20222,05033541,3,0,1,,A,600,D
20222,05034891,21,0,1,,A,50,D
20222,05035321,5,0,1,,A,150,D
20222,05038701,10,0,1,,A,300,D
20222,05042091,6,0,1,1200,D,,A
20222,05042411,10,0,1,,A,60,D
20222,05042791,10,0,1,,A,800,D
20223,04897034,17,0,1,,A,175,D
20223,04900954,8,0,1,,A,50,D
20223,04902464,8,0,1,,A,650,D
20223,04903034,9,0,1,,A,60,D
20223,04903224,6,0,1,160,D,,A
20223,04904574,2,0,1,,A,,A
20223,04907254,2,0,1,,A,,A
20223,04908764,15,0,1,,A,200,D
20223,04915834,6,0,1,,A,150,D
20223,04916494,3,0,1,80,D,,A
20223,04923424,12,0,1,,A,1348,D
20223,04924454,16,0,1,,A,24,D
20223,04927324,8,0,1,,A,30,D
20223,04931523,13,0,1,,A,40,D
20223,04932833,5,0,1,700,D,,A
20223,04934893,6,0,1,,A,45,D
20223,04935023,21,0,1,,A,250,D
20223,04938223,2,0,1,,A,660,D
20223,04939913,2,0,1,,A,300,D
20223,04946393,7,0,1,,A,71,D
20223,04948193,4,0,1,71,D,,A
20223,04948893,5,0,1,,A,375,D
20223,04953353,2,0,1,,A,,A
20223,04958383,5,0,1,,A,260,D
20223,04961443,10,0,1,,A,400,D
20223,05011562,24,0,1,,A,43,D
20223,05012992,13,0,1,,A,100,D
20223,05016132,10,0,1,127,D,,A
20223,05021252,4,0,1,,A,600,D
20223,05025882,7,0,1,,A,696,D
20223,05027052,10,0,1,,A,160,D
20223,05027442,27,0,1,,A,50,D
20223,05030192,6,0,1,,A,19,D
20223,05038392,13,0,1,,A,300,D
20223,05042142,3,0,1,,A,,A
20223,05092481,13,0,1,,A,200,D
20223,05096021,17,0,1,,A,300,D
20223,05097104,8,0,1,,A,50,D
20223,05097631,3,0,1,340,D,,A
20223,05098181,3,0,1,,A,,A
20223,05102611,5,0,1,1200,D,,A
20223,05103831,8,0,1,,A,650,D
20223,05106431,5,0,1,,A,500,D
20223,05107491,7,0,1,,A,100,D
20223,05107691,2,0,1,,A,,A
20223,05111401,3,0,1,,A,30,D
20223,05114161,6,0,1,,A,43,D
20223,05119021,5,0,1,,A,20,D
20223,05119371,2,0,1,879,D,,A
20223,05120171,6,0,1,,A,28,D
20223,05122811,2,0,1,,A,,A
20223,05124161,15,0,1,,A,50,D
20223,05124291,3,0,1,875,D,,A
20223,05124381,6,0,1,,A,180,D
20223,05124771,17,0,1,,A,200,D
20223,05124911,7,0,1,,A,180,D
20224,04931644,2,0,1,,A,,A
20224,04933944,2,0,1,200,D,,A
20224,04934644,2,0,1,,A,,A
20224,04935024,26,0,1,,A,50,D
20224,04935594,4,0,1,2000,D,,A
20224,04945234,2,0,1,,A,,A
20224,04953184,4,0,1,,A,125,D
20224,04958554,2,0,1,,A,,A
20224,05021813,2,0,1,,A,,A
20224,05033103,7,0,1,,A,10,D
20224,05040203,7,0,1,,A,180,D
20224,05042143,2,0,1,,A,,A
20224,05043893,8,0,1,381,D,,A
20224,05106052,2,0,1,,A,,A
20224,05106672,9,0,1,,A,234,D
20224,05108522,2,0,1,,A,40,D
20224,05122812,2,0,1,,A,,A
20224,05123892,33,0,1,,A,100,D
20224,05201861,4,0,1,,A,500,D
20224,05203511,10,0,1,,A,157,D
20224,05205831,3,0,1,,A,10,D
20224,05209381,11,0,1,,A,45,D
20224,05209561,8,0,1,,A,325,D
20224,05219341,2,0,1,,A,,A
20224,05226291,2,0,1,,A,,A
20224,05226371,2,0,1,,A,1000,D
20224,05226581,4,0,1,357,D,,A
20224,05230721,7,0,1,,A,75,D
20224,05232111,2,0,1,,A,,A
20224,05234861,5,0,1,,A,50,D
20231,05028764,16,0,1,,A,100,D
20231,05040204,7,0,1,,A,300,D
20231,05094103,10,0,1,,A,675,D
20231,05095423,4,0,1,450,D,,A
20231,05095673,6,0,1,,A,2000,D
20231,05097663,11,0,1,500,D,,A
20231,05103393,17,0,1,,A,3300,D
20231,05108523,4,0,1,,A,75,D
20231,05112193,54,0,1,,A,8,D
20231,05119313,22,0,1,,A,383,D
20231,05120323,3,0,1,453,D,,A
20231,05122453,8,0,1,85,D,,A
