ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,2,D,1,D,1,D,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,299,D,D,1,,A,D,2,D,,A,04815104,2,D,,A,,A,,A,1944,D,HHP,5,1,5,,A,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,3,D,D,1,,A,D,,A,,A,04815114,,A,,A,,A,,A,9,D,HHP,5,1,10,1,D,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,15,D,D,1,,A,D,,A,,A,04815114,,A,,A,,A,,A,45,D,HHP,5,1,11,4,D,20222
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,04,80,D,D,1,,A,D,,A,,A,04815114,1,D,,A,,A,,A,240,D,HHP,5,1,12,,A,20222
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,300,D,D,1,,A,D,2,D,,A,04815124,2,D,,A,,A,,A,1950,D,HHP,5,1,5,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,2,2,,1,D,D,A,D,04,160,D,D,1,,A,D,2,D,,A,04815124,2,D,2,D,,A,,A,480,D,HHP,5,1,6,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,09,3500,D,D,1,,A,D,,A,,A,04815154,1,D,2,D,,A,,A,875,D,HHP,5,1,3,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,2,2,,1,D,D,A,D,04,220,D,D,1,,A,D,,A,,A,04815154,1,D,2,D,,A,,A,660,D,HHP,5,1,4,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,7,D,D,1,1,D,D,2,D,,A,04815204,2,D,1,D,1,D,1,D,21,D,HHP,5,1,8,,A,20222
0,,A,1,D,,A,3,D,2,D,,A,1,D,1,1,,1,D,D,A,D,08,300,D,D,1,,A,D,,A,,A,04815264,,A,,A,,A,,A,150,D,HHP,5,1,21,1,D,20222
0,2,D,1,D,1,D,3,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,450,D,D,1,,A,D,2,D,,A,04815264,2,D,,A,,A,,A,1350,D,HHP,5,1,22,,A,20222
0,2,D,,A,,A,4,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,04815284,1,D,,A,,A,,A,,A,HHP,5,1,8,,A,20222
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,32,D,D,1,,A,D,,A,,A,04815424,,A,,A,,A,,A,96,D,HHP,5,1,3,1,D,20222
0,2,D,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,850,D,D,1,,A,D,,A,,A,04815424,1,D,,A,,A,,A,2550,D,HHP,5,1,4,,A,20222
0,1,D,,A,1,D,6,D,2,D,,A,,A,1,1,,1,D,D,A,D,03,300,D,D,,,A,A,2,D,,A,04815454,2,D,,A,,A,,A,1800,D,HHP,1,1,5,,A,20222
0,2,D,,A,,A,3,D,2,D,0,D,,A,1,2,,1,D,D,A,D,10,,D,A,,,A,A,,A,,A,04815544,1,D,,A,,A,,A,0,D,HHP,1,1,5,,A,20222
0,2,D,,A,,A,5,D,2,D,,A,,A,1,1,,1,D,D,A,D,01,125,D,D,,,A,A,2,D,,A,04815584,2,D,,A,,A,,A,1625,D,HHP,1,1,4,,A,20222
0,,A,1,D,,A,2,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,30,D,D,1,,A,D,,A,,A,04815614,,A,,A,,A,,A,90,D,HHP,5,1,7,1,D,20222
0,,A,1,D,1,D,2,D,1,D,,A,1,D,2,2,,1,D,D,A,D,04,30,D,D,1,,A,D,,A,,A,04815614,,A,,A,,A,,A,90,D,HHP,5,1,8,4,D,20222
