QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20222,04815104,10,0,5,01,D,100,D,.0296,D,510000,D,30,D,2660,D,3,D,,A,,A,,A,521,D,903,D,905,D,907,D,1236,D,1234,D,1232,D,,A,03,D,2021,D,1,D,,A,501092,D,500189,D,499283,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,04815124,17,0,5,01,D,100,D,.0400,D,110000,D,20,D,1000,D,3,D,4,D,,A,,A,333,D,324,D,325,D,326,D,343,D,342,D,341,D,,A,02,D,2020,D,1,D,,A,102833,D,102509,D,102184,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,04815124,18,0,5,02,D,300,D,.0454,D,20000,D,30,D,265,D,3,D,4,D,,A,,A,163,D,31,D,31,D,31,D,71,D,71,D,71,D,,A,07,D,2018,D,1,D,,A,18804,D,18773,D,18742,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,04815204,31,0,5,01,D,100,D,.0400,D,175947,D,30,D,1014,D,3,D,4,D,,A,,A,174,D,275,D,276,D,276,D,565,D,564,D,564,D,,A,01,D,2020,D,1,D,,A,169624,D,169349,D,169074,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,04815284,23,0,5,01,D,100,D,.0311,D,324867,D,30,D,2120,D,3,D,4,D,5,D,,A,731,D,572,D,573,D,575,D,817,D,816,D,814,D,,A,08,D,2020,D,1,D,,A,315372,D,314800,D,314227,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,04815324,10,0,1,01,D,100,D,.0806,D,135510,D,30,D,1000,D,,C,,C,,C,,C,0,D,519,D,522,D,526,D,481,D,478,D,474,D,,A,03,D,2000,D,1,D,,A,71625,D,71107,D,70584,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A,2,D
20222,04815344,19,0,5,01,D,100,D,.0454,D,149000,D,30,D,900,D,3,D,4,D,,A,,A,141,D,228,D,229,D,230,D,531,D,530,D,529,D,,A,08,D,2018,D,1,D,,A,140357,D,140129,D,139900,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,04815404,23,0,5,01,D,100,D,.0400,D,127000,D,30,D,844,D,3,D,4,D,,A,,A,238,D,,A,,A,,A,,A,,A,,A,,A,07,D,2021,D,2,D,,A,125893,D,125706,D,125519,D,01,D,,A,2,D,,A,1577,D,,C,1600,D,1,D,2,D,2,D
20222,04815454,11,0,1,01,D,100,D,.0450,F,262490,F,30,F,1330,F,,A,,A,,A,,A,0,F,1001,F,1004,F,1008,F,329,F,326,F,322,F,,A,05,F,1998,F,1,F,,A,87809,F,86808,F,85804,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,04815474,37,0,5,01,D,100,D,.0425,D,240000,D,30,D,1263,D,3,D,4,D,,A,,A,82,D,345,D,347,D,348,D,836,D,834,D,833,D,,A,01,D,2021,D,1,D,,A,235950,D,235604,D,235258,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
