QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20222,04815104,9,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,7000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815124,15,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815124,16,0,5,02,D,300,D,,A,1,D,,B,2018,D,,A,,A,,A,540,F,1,D,,C,2,D,,A,,A,,A,,A,,A,1,D
20222,04815154,13,0,5,01,D,100,D,,A,3,D,,B,1978,D,,A,,A,,A,6100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815154,14,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,30,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815264,43,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,19611,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815264,44,0,5,02,D,300,D,,A,3,D,,B,2009,D,,A,,A,,A,14256,T,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20222,04815284,22,0,5,01,D,100,D,,A,3,D,06,D,2020,D,,A,,A,,A,5200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20222,04815324,9,0,1,01,D,100,D,,A,3,D,03,F,2000,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
