QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOH,PROP0NOH,OWNYH,OWNYH_,PAIDLOAN,PAID_OAN,PRIMPLUS,PRIM_LUS,JINTPDX,JINTPDX_,JLCPRINX,JLCP_INX,LOAN_NOH,LOAN0NOH,TOTOWED,TOTOWED_
20222,04817714,15,0,5,01,D,100,D,1,D,0.0534,D,1842,D,2658,D,01,D,138000,D
20222,04818114,18,0,5,01,D,100,D,1,D,0.0534,D,601,D,2399,D,01,D,45000,D
20222,04818974,19,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04819554,15,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,02,D,12000,D
20222,04819554,16,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04819904,19,0,5,01,D,100,D,1,D,0.0534,D,7,D,529,D,01,D,536,D
20222,04820364,41,0,5,01,D,100,D,1,D,0.0534,D,281,D,1300,D,01,D,21074,D
20222,04820884,21,0,5,01,D,100,D,1,D,0.0534,D,40,D,860,D,01,D,3000,D
20222,04821134,26,0,5,01,D,100,D,1,D,0.0534,D,454,D,1336,D,01,D,34000,D
20222,04821564,8,0,5,01,D,100,D,2,D,0.0534,D,13,F,17,F,01,D,990,F
20222,04822994,19,0,5,01,D,100,D,2,D,0.0534,D,67,F,833,F,01,D,5000,F
20222,04823094,19,0,5,01,D,100,D,1,D,0.0534,D,258,D,1542,D,01,D,19300,D
20222,04823184,10,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,3500,D
20222,04824004,24,0,5,01,D,100,D,1,D,0.0534,D,147,D,11927,D,01,D,11000,D
20222,04825794,32,0,5,01,D,100,D,,C,0.0534,D,334,F,266,F,01,D,25000,F
20222,04825874,24,0,5,01,D,100,D,1,D,0.0534,D,147,D,1053,D,01,D,11000,D
20222,04826494,37,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04828574,40,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04829104,26,0,5,01,D,100,D,1,D,0.0534,D,294,D,558,D,01,D,22000,D
20222,04832184,25,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,30000,D
20222,04832354,26,0,5,01,D,100,D,1,D,0.0534,D,45,D,885,D,01,D,3400,D
20222,04833244,27,0,5,01,D,100,D,1,D,0.0534,D,120,F,180,F,01,D,9000,F
20222,04835104,22,0,5,01,D,100,D,1,D,0.0534,D,174,D,426,D,01,D,13000,D
20222,04836044,36,0,5,01,D,100,D,1,D,0.0534,D,65,D,310,D,01,D,4898,D
20222,04838864,10,0,5,01,D,300,D,1,D,0.0534,D,414,D,,T,01,D,,T
20222,04839674,28,0,5,01,D,100,D,1,D,0.0534,D,200,D,250,D,01,D,15000,D
20222,04839874,17,0,5,01,D,100,D,1,D,0.0534,D,33,D,567,D,01,D,2500,D
20222,04840634,47,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04840964,40,0,5,01,D,100,D,1,D,0.0534,D,1068,D,-177,D,01,D,80000,D
20222,04841164,21,0,5,01,D,100,D,1,D,0.0534,D,668,D,-368,D,01,D,50000,D
20222,04841414,25,0,5,01,D,100,D,1,D,0.0534,D,1081,D,819,D,01,D,81000,D
20222,04841614,48,0,5,01,D,100,D,1,D,0.0534,D,3,D,3,D,01,D,200,D
20222,04842484,30,0,5,01,D,100,D,1,D,0.0534,D,240,D,1035,D,01,D,18000,D
20222,04842874,36,0,5,01,D,100,D,1,D,0.0534,D,1063,D,104,D,01,D,79620,D
20222,04843104,14,0,5,01,D,100,D,1,D,0.0534,D,534,D,-138,D,01,D,40000,D
20222,04843354,42,0,5,01,D,100,D,1,D,0.0534,D,921,D,168,D,01,D,69000,D
20222,04845114,35,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04846034,24,0,5,01,D,100,D,1,D,0.0534,D,467,D,2833,D,01,D,35000,D
20222,04846204,27,0,5,01,D,100,D,1,D,0.0534,D,176,D,1576,D,01,D,13200,D
20222,04846274,28,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04846394,15,0,5,01,D,100,D,2,D,0.0534,D,4339,F,161,F,01,D,320222,V
20222,04848624,55,0,5,01,D,100,D,1,D,0.0534,D,1215,F,785,F,01,D,91000,F
20222,04848624,56,0,5,01,D,100,D,,C,0.0534,D,1463,F,287,F,02,D,109610,F
20222,04848624,57,0,5,01,D,100,D,,C,0.0534,D,1068,F,-177,F,03,D,80000,F
20222,04849724,27,0,5,01,D,100,D,1,D,0.0534,D,413,D,313,D,01,D,30916,D
20222,04897033,43,0,5,01,D,100,D,1,D,0.0534,D,1139,D,763,D,01,D,85342,D
20222,04898763,24,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04899033,36,0,5,01,D,100,D,1,D,0.0534,D,935,D,7065,D,01,D,70000,D
20222,04899073,40,0,5,01,D,100,D,1,D,0.0534,D,708,D,792,D,01,D,53000,D
20222,04899423,32,0,5,01,D,100,D,1,D,0.0534,D,777,D,3183,D,01,D,58233,D
20222,04900753,24,0,5,01,D,100,D,1,D,0.0534,D,160,F,740,F,01,D,12000,F
20222,04900943,21,0,5,01,D,100,D,1,D,0.0534,D,4833,D,-2469,T,01,D,320222,T
20222,04901323,23,0,5,01,D,100,D,1,D,0.0534,D,120,D,180,D,01,D,9000,D
20222,04902943,25,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04903073,42,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04904683,18,0,5,01,D,100,D,1,D,0.0534,D,401,D,-206,D,01,D,30000,D
20222,04904713,26,0,5,01,D,100,D,1,D,0.0534,D,334,D,266,D,01,D,25000,D
20222,04904863,20,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,104000,D
20222,04906313,16,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04907703,24,0,1,01,D,100,D,1,D,0.0534,D,128,D,172,D,01,D,9605,D
20222,04909963,28,0,5,01,D,100,D,1,D,0.0534,D,481,D,719,D,01,D,36000,D
20222,04910593,37,0,5,01,D,100,D,1,D,0.0534,D,294,F,558,F,01,D,22000,F
20222,04911313,38,0,5,01,D,100,D,1,D,0.0534,D,401,D,199,D,01,D,30000,D
20222,04912603,31,0,5,01,D,100,D,1,D,0.0534,D,1215,D,785,D,02,D,91000,D
20222,04912603,32,0,5,01,D,100,D,1,D,0.0534,D,694,D,5306,D,01,D,52000,D
20222,04914653,26,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,20000,D
20222,04914653,27,0,5,02,D,400,D,1,D,0.0534,D,13,D,,T,01,D,,T
20222,04914773,29,0,1,01,D,100,D,1,D,0.0534,D,53,D,3947,D,01,D,4000,D
20222,04914813,11,0,5,01,D,100,D,2,D,0.0534,D,1335,F,765,F,01,D,100000,F
20222,04916263,19,0,5,01,D,100,D,1,D,0.0534,D,668,D,82,D,01,D,50000,D
20222,04916863,23,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,33900,D
20222,04917533,16,0,5,01,D,100,D,1,D,0.0534,D,401,D,499,D,01,D,30000,D
20222,04918403,20,0,5,01,D,100,D,1,D,0.0534,D,801,F,-297,F,01,D,60000,F
20222,04919523,19,0,5,01,D,100,D,1,D,0.0534,D,374,D,331,D,01,D,28000,D
20222,04919983,17,0,1,01,D,100,D,1,D,0.0534,D,254,D,646,D,01,D,19000,D
20222,04920643,22,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04920663,25,0,5,01,D,100,D,1,D,0.0534,D,1135,D,1865,D,01,D,85000,D
20222,04920833,29,0,5,01,D,100,D,1,D,0.0534,D,734,D,16,D,01,D,55000,D
20222,04921293,30,0,5,01,D,100,D,1,D,0.0534,D,67,D,23212,T,01,D,5000,D
20222,04922703,18,0,5,01,D,100,D,1,D,0.0534,D,107,D,3043,D,01,D,8000,D
20222,04923003,25,0,5,01,D,100,D,1,D,0.0534,D,774,D,276,D,01,D,58000,D
20222,04923413,38,0,5,01,D,100,D,1,D,0.0534,D,227,D,973,D,01,D,17000,D
20222,04924383,23,0,5,01,D,100,D,1,D,0.0534,D,401,F,-206,F,01,D,30000,F
20222,04925133,29,0,5,01,D,100,D,1,D,0.0534,D,2035,D,20,D,01,D,152400,D
20222,04926973,33,0,5,01,D,100,D,1,D,0.0534,D,1760,D,290,D,01,D,131868,D
20222,04928033,21,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04929123,52,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04929293,17,0,5,01,D,100,D,1,D,0.0534,D,454,F,1336,F,01,D,34000,F
20222,04930982,24,0,1,01,D,100,D,1,D,0.0534,D,481,F,719,F,01,D,36000,F
20222,04931832,20,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04932052,25,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04933892,28,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04933932,20,0,5,01,D,100,D,1,D,0.0534,D,56,D,394,D,01,D,4164,D
20222,04935212,23,0,5,01,D,100,D,1,D,0.0534,D,123,D,477,D,01,D,9187,D
20222,04935512,20,0,5,01,D,100,D,1,D,0.0534,D,30,D,720,D,01,D,2250,D
20222,04939252,34,0,5,01,D,100,D,1,D,0.0534,D,903,D,23212,T,01,D,67655,D
20222,04939932,32,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04939932,33,0,5,02,D,200,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04940012,21,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04941162,34,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04942102,20,0,5,01,D,100,D,1,D,0.0534,D,507,D,1593,D,01,D,38000,D
20222,04942252,22,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04942492,13,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04943022,23,0,5,01,D,100,D,1,D,0.0534,D,12,D,429,D,01,D,900,D
20222,04945342,20,0,5,01,D,100,D,1,D,0.0534,D,1242,D,2308,D,01,D,93000,D
20222,04947122,20,0,1,01,D,100,D,1,D,0.0534,D,93,F,1707,F,01,D,7000,F
20222,04948892,33,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04948962,24,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,40000,D
20222,04949092,10,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04949372,29,0,5,01,D,100,D,1,D,0.0534,D,12,F,429,F,01,D,900,F
20222,04951282,28,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,320222,T
20222,04951682,11,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04951732,17,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,21000,D
20222,04952152,15,0,5,01,D,100,D,1,D,0.0534,D,427,F,1073,F,01,D,32000,F
20222,04952762,14,0,5,01,D,100,D,1,D,0.0534,D,801,D,-297,D,01,D,60000,D
20222,04953802,18,0,5,01,D,100,D,1,D,0.0534,D,239,D,511,D,01,D,17900,D
20222,04954502,11,0,1,01,D,100,D,1,D,0.0534,D,3338,D,1162,D,01,D,320222,T
20222,04954712,16,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,95000,D
20222,04957042,41,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,24282,D
20222,04958442,19,0,1,01,D,100,D,1,D,0.0534,D,40,D,-25,D,01,D,3000,D
20222,04959392,33,0,5,01,D,100,D,1,D,0.0534,D,1415,D,-86,D,01,D,106000,D
20222,04959812,32,0,5,01,D,100,D,1,D,0.0534,D,1068,D,-795,D,01,D,80000,D
20222,04959962,10,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04960352,21,0,5,01,D,100,D,1,D,0.0534,D,776,D,-515,D,01,D,58100,D
20222,04961042,29,0,5,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,04961662,25,0,5,01,D,100,D,1,D,0.0534,D,107,D,493,D,01,D,8050,D
20222,04962902,23,0,5,01,D,100,D,1,D,0.0534,D,4339,D,161,D,01,D,320222,T
20222,04963392,13,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,3000,D
20222,04964692,30,0,5,01,D,100,D,1,D,0.0534,D,60,D,390,D,01,D,4500,D
20222,04964822,27,0,5,01,D,100,D,1,D,0.0534,D,1268,D,-68,D,01,D,95000,D
20222,04964912,15,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,55000,D
20222,05011331,12,0,1,01,D,100,D,1,D,0.0534,D,1028,D,2188,D,01,D,77000,D
20222,05013391,39,0,1,01,D,100,D,1,D,0.0534,D,1549,D,-679,D,01,D,116000,D
20222,05013671,16,0,1,01,D,100,D,1,D,0.0534,D,734,D,1066,D,01,D,55000,D
20222,05014241,28,0,1,01,D,100,D,1,D,0.0534,D,1335,D,6665,D,01,D,100000,D
20222,05014721,14,0,1,01,D,100,D,1,D,0.0534,D,1362,D,138,D,01,D,102000,D
20222,05014911,30,0,1,01,D,100,D,1,D,0.0534,D,734,D,2566,D,01,D,55000,D
20222,05015531,12,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,60000,D
20222,05016131,33,0,1,01,D,100,D,1,D,0.0534,D,2136,D,-2469,T,01,D,160000,D
20222,05016871,16,0,1,01,D,100,D,1,D,0.0534,D,57,D,173,D,01,D,4300,D
20222,05017231,41,0,1,01,D,100,D,1,D,0.0534,D,187,D,23212,T,01,D,14000,D
20222,05017301,9,0,1,01,D,100,D,1,D,0.0534,D,734,D,1366,D,01,D,55000,D
20222,05018141,25,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,05018491,9,0,1,01,D,100,D,1,D,0.0534,D,57,F,173,F,01,D,4300,F
20222,05019591,13,0,1,01,D,100,D,1,D,0.0534,D,694,D,2306,D,01,D,52000,D
20222,05020731,31,0,1,01,D,100,D,1,D,0.0534,D,1463,D,287,D,01,D,109610,D
20222,05021431,12,0,1,01,D,100,D,1,D,0.0534,D,467,F,2833,F,01,D,35000,F
20222,05023881,27,0,1,01,D,100,D,1,D,0.0534,D,587,D,613,D,01,D,44000,D
20222,05025621,14,0,1,01,D,100,D,1,D,0.0534,D,160,D,740,D,01,D,12000,D
20222,05026231,23,0,1,01,D,100,D,1,D,0.0534,D,1549,D,-649,D,01,D,116000,D
20222,05026461,14,0,1,01,D,100,D,1,D,0.0534,D,307,D,293,D,01,D,23000,D
20222,05026621,21,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,166,D
20222,05027271,20,0,1,01,D,100,D,1,D,0.0534,D,307,F,293,F,01,D,23000,F
20222,05027321,17,0,1,01,D,100,D,1,D,0.0534,D,240,D,510,D,01,D,18000,D
20222,05027691,19,0,1,01,D,100,D,1,D,0.0534,D,481,D,1169,D,01,D,36000,D
20222,05029781,12,0,1,01,D,100,D,1,D,0.0534,D,120,D,14880,D,01,D,9000,D
20222,05029971,11,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,58000,D
20222,05030421,16,0,1,01,D,100,D,1,D,0.0534,D,1161,D,1789,D,01,D,87000,D
20222,05030611,45,0,1,01,D,100,D,1,D,0.0534,D,2176,D,-751,D,01,D,163000,D
20222,05031341,16,0,1,01,D,100,D,1,D,0.0534,D,708,D,792,D,01,D,53000,D
20222,05031381,16,0,1,01,D,100,D,1,D,0.0534,D,490,D,318,D,01,D,36700,D
20222,05032131,23,0,1,01,D,100,D,1,D,0.0534,D,11,D,289,D,01,D,800,D
20222,05032691,23,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,05033501,32,0,1,01,D,100,D,1,D,0.0534,D,2270,D,-770,D,01,D,170000,D
20222,05033821,14,0,1,01,D,100,D,1,D,0.0534,D,841,D,296,D,01,D,63000,D
20222,05033971,15,0,1,01,D,100,D,1,D,0.0534,D,1335,D,765,D,01,D,100000,D
20222,05035241,19,0,1,01,D,100,D,1,D,0.0534,D,227,D,23212,T,01,D,17000,D
20222,05035771,15,0,1,01,D,100,D,1,D,0.0534,D,67,D,833,D,01,D,5000,D
20222,05035791,13,0,1,01,D,100,D,1,D,0.0534,D,614,D,397,D,01,D,46000,D
20222,05035951,18,0,1,01,D,100,D,1,D,0.0534,D,1028,D,-83,D,01,D,77000,D
20222,05038331,18,0,1,01,D,100,D,1,D,0.0534,D,93,D,1707,D,01,D,7000,D
20222,05040601,20,0,1,01,D,100,D,1,D,0.0534,D,160,D,740,D,01,D,12000,D
20222,05040811,17,0,1,01,D,100,D,2,D,0.0534,D,,A,,A,01,D,0,D
20222,05043711,17,0,1,01,D,100,D,1,D,0.0534,D,187,D,230,D,01,D,14000,D
20222,05044251,21,0,1,01,D,100,D,1,D,0.0534,D,0,D,0,D,01,D,0,D
20222,05044321,27,0,1,01,D,100,D,1,D,0.0534,D,427,D,1073,D,01,D,32000,D
20222,05045121,27,0,1,01,D,100,D,1,D,0.0534,D,240,D,960,D,01,D,17987,D
20222,05045121,28,0,1,01,D,100,D,1,D,0.0534,D,45,D,147,D,02,D,3384,D
20223,04896634,22,0,1,01,D,100,D,1,D,0.0687,D,1769,D,568,D,01,D,103000,D
20223,04897034,40,0,5,01,D,100,D,1,D,0.0687,D,1443,D,612,D,01,D,84000,D
20223,04897764,22,0,5,01,D,100,D,2,D,0.0687,D,,A,,A,01,D,0,D
20223,04898764,34,0,5,01,D,100,D,2,D,0.0687,D,,A,,A,01,D,0,D
20223,04899034,28,0,5,01,D,100,D,1,D,0.0687,D,344,D,1156,D,01,D,20000,D
20223,04899074,37,0,5,01,D,100,D,1,D,0.0687,D,1178,D,1322,D,01,D,68560,D
20223,04899424,38,0,5,01,D,100,D,1,D,0.0687,D,996,D,504,D,01,D,58000,D
20223,04900754,26,0,5,01,D,100,D,1,D,0.0687,D,2044,F,-729,F,01,D,119000,F
20223,04900944,18,0,5,01,D,100,D,1,D,0.0687,D,1031,F,-176,F,01,D,60000,F
20223,04901114,18,0,1,01,D,100,D,1,D,0.0687,D,1477,D,-277,D,01,D,86000,D
20223,04901324,25,0,5,01,D,100,D,1,D,0.0687,D,146,D,154,D,01,D,8500,D
20223,04902944,24,0,5,01,D,100,D,2,D,0.0687,D,,A,,A,01,D,320222,T
20223,04903074,36,0,5,01,D,100,D,2,D,0.0687,D,,A,,A,01,D,0,D
20223,04904244,14,0,5,01,D,100,D,1,D,0.0687,D,1288,D,-442,D,01,D,75000,D
20223,04904714,36,0,5,01,D,100,D,1,D,0.0687,D,316,F,884,F,01,D,18387,F
