QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,RENTCODE,RENT_ODE,BSNSPCTZ,BSNS_CTZ,QADRENTX,QADR_NTX,ANYVACAT,ANYV_CAT
20222,04815124,25,0,1,105,D,,A,1300,D,1,D
20222,04816694,30,0,1,105,D,,A,85,D,1,D
20222,04817494,25,0,1,105,D,,A,3800,D,1,D
20222,04818514,34,0,1,105,D,,A,700,D,1,D
20222,04820944,36,0,1,105,D,,A,250,D,1,D
20222,04822584,26,0,1,105,D,,A,300,D,1,D
20222,04823034,9,0,1,105,D,,A,362,D,1,D
20222,04823884,35,0,1,105,D,,A,150,D,1,D
20222,04823884,36,0,1,105,D,,A,150,D,1,D
20222,04823894,59,0,1,105,D,,A,1004,D,1,D
20222,04823894,60,0,1,150,D,,A,300,D,1,D
20222,04825004,18,0,1,105,D,,A,350,D,2,D
20222,04826034,31,0,1,105,D,,A,180,D,2,D
20222,04828684,34,0,1,105,D,,A,95,D,1,D
20222,04829494,27,0,1,105,D,,A,550,D,1,D
20222,04829914,39,0,1,105,D,,A,536,F,1,D
20222,04832044,16,0,1,105,D,,A,52,D,1,D
20222,04834634,20,0,1,105,D,,A,300,D,1,D
20222,04834754,18,0,1,105,D,,A,950,D,2,D
20222,04834864,16,0,1,105,D,,A,2100,D,1,D
20222,04834874,17,0,1,105,D,,A,200,D,1,D
20222,04836744,14,0,1,160,D,,A,425,D,2,D
20222,04836834,18,0,1,105,D,,A,225,D,1,D
20222,04840214,30,0,1,105,D,,A,500,D,2,D
20222,04840504,13,0,1,105,D,,A,119,D,1,D
20222,04841354,65,0,1,105,D,,A,1000,D,1,D
20222,04841354,66,0,1,105,D,,A,1000,D,1,D
20222,04841354,67,0,1,105,D,,A,1000,D,1,D
20222,04843004,20,0,1,105,D,,A,530,D,1,D
20222,04844154,16,0,1,200,D,,A,900,D,2,D
20222,04844304,23,0,1,105,D,,A,800,D,2,D
20222,04844754,20,0,1,105,D,,A,700,D,1,D
20222,04845994,41,0,1,105,D,,A,675,D,2,D
20222,04845994,42,0,1,105,D,,A,367,D,1,D
20222,04846154,31,0,1,105,D,,A,450,D,1,D
20222,04848594,32,0,1,105,D,,A,290,D,2,D
20222,04849124,34,0,1,105,D,,A,523,D,1,D
20222,04849294,32,0,1,105,D,,A,1100,D,1,D
20222,04849494,20,0,1,105,D,,A,500,D,2,D
20222,04849844,39,0,1,105,D,,A,146,D,1,D
20222,04850064,22,0,1,105,D,,A,750,D,1,D
20222,04896593,23,0,1,105,D,,A,350,D,2,D
20222,04900193,8,0,1,105,D,,A,1000,D,1,D
20222,04901553,29,0,1,105,D,,A,250,D,1,D
20222,04904193,9,0,1,105,D,,A,267,D,1,D
20222,04904593,30,0,1,105,D,,A,500,D,1,D
20222,04905123,19,0,1,105,D,,A,1200,D,1,D
20222,04905683,25,0,1,105,D,,A,400,D,1,D
20222,04905873,15,0,1,105,D,,A,1600,D,2,D
20222,04906573,39,0,1,105,D,,A,40,D,2,D
20222,04906803,24,0,1,105,D,,A,710,D,1,D
20222,04907703,28,0,1,105,D,,A,189,D,1,D
20222,04909263,31,0,1,105,D,,A,50,D,2,D
20222,04909573,11,0,1,105,D,,A,536,F,2,D
20222,04909893,13,0,1,105,D,,A,421,D,1,D
20222,04910523,13,0,1,105,D,,A,700,D,1,D
20222,04910853,8,0,1,105,D,,A,633,F,2,D
20222,04914623,21,0,1,105,D,,A,256,D,1,D
20222,04914773,32,0,1,105,D,,A,300,D,1,D
20222,04916263,24,0,1,160,D,,A,85,D,2,D
20222,04916733,31,0,1,105,D,,A,573,D,1,D
20222,04917923,52,0,1,105,D,,A,693,D,1,D
20222,04918163,33,0,1,105,D,,A,2000,D,1,D
20222,04918803,32,0,1,105,D,,A,350,D,2,D
20222,04920643,29,0,1,105,D,,A,2100,D,1,D
20222,04921543,42,0,1,105,D,,A,2500,D,1,D
20222,04923553,30,0,1,105,D,,A,200,D,1,D
20222,04924093,21,0,1,105,D,,A,700,D,1,D
20222,04924313,19,0,1,150,D,,A,20,D,2,D
20222,04924313,20,0,1,150,D,,A,10,D,2,D
20222,04924943,29,0,1,105,D,,A,300,D,2,D
20222,04925643,19,0,1,105,D,,A,100,D,2,D
20222,04926653,23,0,1,105,D,,A,95,D,2,D
20222,04927453,29,0,1,105,D,,A,700,D,1,D
20222,04928203,25,0,1,105,D,,A,500,D,1,D
20222,04928743,35,0,1,105,D,,A,200,D,1,D
20222,04931552,30,0,1,105,D,,A,266,D,1,D
20222,04932463,19,0,1,105,D,,A,700,D,1,D
20222,04933472,34,0,1,180,D,,A,175,D,2,D
20222,04933472,35,0,1,200,D,,A,297,D,2,D
20222,04933812,19,0,1,200,D,.50,D,250,D,1,D
20222,04933892,32,0,1,105,D,,A,650,D,2,D
20222,04934672,27,0,1,105,D,,A,2000,D,1,D
20222,04935632,27,0,1,105,D,,A,158,D,1,D
20222,04935822,15,0,1,105,D,,A,120,D,1,D
20222,04937682,30,0,1,105,D,,A,505,F,2,D
20222,04938392,29,0,1,105,D,,A,75,D,2,D
20222,04938462,30,0,1,105,D,,A,550,D,1,D
20222,04939172,18,0,1,180,D,,A,800,D,2,D
20222,04940332,15,0,1,105,D,,A,300,D,2,D
20222,04941152,27,0,1,105,D,,A,320,D,1,D
20222,04941212,29,0,1,105,D,,A,175,D,1,D
20222,04941802,23,0,1,105,D,,A,1000,D,1,D
20222,04943192,23,0,1,105,D,,A,560,D,1,D
20222,04944172,43,0,1,105,D,,A,618,D,1,D
20222,04944332,27,0,1,105,D,,A,1800,D,1,D
20222,04944912,35,0,1,105,D,,A,150,D,1,D
20222,04945862,42,0,1,105,D,,A,400,D,1,D
20222,04947362,16,0,1,105,D,,A,200,D,2,D
20222,04949192,24,0,1,105,D,,A,800,D,1,D
20222,04950042,39,0,1,105,D,,A,211,D,1,D
20222,04950592,29,0,1,105,D,,A,600,D,2,D
20222,04951172,30,0,1,105,D,,A,385,D,2,D
20222,04953492,17,0,1,105,D,,A,150,D,1,D
20222,04954032,31,0,1,105,D,,A,665,D,1,D
20222,04954032,32,0,1,105,D,,A,300,D,1,D
20222,04954102,38,0,1,105,D,,A,400,D,2,D
20222,04954122,26,0,1,105,D,,A,300,D,1,D
20222,04955562,9,0,1,105,D,,A,10,D,2,D
20222,04957612,25,0,1,105,D,,A,179,D,1,D
20222,04957612,26,0,1,105,D,,A,639,D,1,D
20222,04957742,22,0,1,105,D,,A,505,F,1,D
20222,04958222,28,0,1,105,D,,A,479,D,1,D
20222,04960202,20,0,1,105,D,,A,500,D,2,D
20222,04960342,34,0,1,105,D,,A,105,D,2,D
20222,04961312,26,0,1,105,D,,A,350,D,1,D
20222,04961952,16,0,1,105,D,,A,569,D,1,D
20222,04963252,41,0,1,105,D,,A,800,D,1,D
20222,04963352,64,0,1,200,D,,A,150,D,2,D
20222,04964032,26,0,1,105,D,,A,770,D,1,D
20222,04964142,36,0,1,105,D,,A,400,D,1,D
20222,04964152,7,0,1,105,D,,A,633,F,2,D
20222,04964302,25,0,1,105,D,,A,600,D,2,D
20222,05011661,21,0,1,105,D,,A,125,D,1,D
20222,05011811,14,0,1,105,D,,A,800,D,1,D
20222,05012041,21,0,1,105,D,,A,1000,D,1,D
20222,05012581,16,0,1,105,D,,A,1000,D,1,D
20222,05012581,17,0,1,150,D,,A,90,D,2,D
20222,05014361,16,0,1,105,D,,A,9,D,2,D
20222,05014841,11,0,1,105,D,,A,240,D,1,D
20222,05015221,13,0,1,105,D,,A,850,D,1,D
20222,05015681,5,0,1,150,D,,A,40,D,2,D
20222,05015781,12,0,1,105,D,,A,300,D,2,D
20222,05016234,10,0,1,105,D,,A,633,F,2,D
20222,05016501,8,0,1,105,D,,A,627,F,2,D
20222,05016681,52,0,1,105,D,,A,800,D,2,D
20222,05017401,34,0,1,105,D,,A,226,D,1,D
