QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TRNONCUX,TRNO_CUX,TRNONCUY,TRNO_CUY
20222,04820364,56,0,1,,H,,A
20222,04820364,56,1,1,222,E,100,D
20222,04820364,56,2,1,77,E,110,D
20222,04820364,56,3,1,131,E,210,D
20222,04820364,56,4,1,170,E,220,D
20222,04823214,35,0,1,,H,,A
20222,04823214,35,1,1,65,E,210,D
20222,04823214,35,2,1,85,E,220,D
20222,04823634,41,0,1,,H,,A
20222,04823634,41,1,1,8,E,100,D
20222,04823634,41,2,1,1,E,120,D
20222,04823634,41,3,1,7,E,130,D
20222,04823634,41,4,1,12,E,150,D
20222,04823634,41,5,1,1,E,160,D
20222,04823634,41,6,1,1,E,190,D
20222,04829054,58,0,1,,H,,A
20222,04829054,58,1,1,40,E,120,D
20222,04829054,58,2,1,5,E,140,D
20222,04829054,58,3,1,293,E,150,D
20222,04829054,58,4,1,33,E,160,D
20222,04829054,58,5,1,13,E,170,D
20222,04829054,58,6,1,41,E,190,D
20222,04829914,54,0,1,,H,,A
20222,04829914,54,1,1,797,E,100,D
20222,04829914,54,2,1,159,E,110,D
20222,04829914,54,3,1,271,E,120,D
20222,04829914,54,4,1,1572,E,130,D
20222,04829914,54,5,1,43,E,140,D
20222,04829914,54,6,1,2181,E,150,D
20222,04829914,54,7,1,250,E,160,D
20222,04829914,54,8,1,103,E,170,D
20222,04829914,54,9,1,310,E,190,D
20222,04829914,54,10,1,394,E,210,D
20222,04829914,54,11,1,420,E,220,D
20222,04831704,35,0,1,,H,,A
20222,04831704,35,1,1,37,E,120,D
20222,04831704,35,2,1,3,E,140,D
20222,04831704,35,3,1,229,E,150,D
20222,04831704,35,4,1,5,E,160,D
20222,04831704,35,5,1,6,E,170,D
20222,04831704,35,6,1,30,E,190,D
20222,04837224,23,0,1,,H,,A
20222,04837224,23,1,1,42,E,120,D
20222,04837224,23,2,1,6,E,140,D
20222,04837224,23,3,1,348,E,150,D
20222,04837224,23,4,1,39,E,160,D
20222,04837224,23,5,1,16,E,170,D
20222,04837224,23,6,1,49,E,190,D
20222,04840514,37,0,1,,H,,A
20222,04840514,37,1,1,76,E,100,D
20222,04840514,37,2,1,12,E,110,D
20222,04840514,37,3,1,29,E,120,D
20222,04840514,37,4,1,3,E,140,D
20222,04840514,37,5,1,200,E,150,D
20222,04840514,37,6,1,5,E,160,D
20222,04840514,37,7,1,5,E,170,D
20222,04840514,37,8,1,26,E,190,D
20222,04840514,37,9,1,34,E,210,D
20222,04840514,37,10,1,60,E,220,D
20222,04842244,23,0,1,,H,,A
20222,04842244,23,1,1,73,E,120,D
20222,04842244,23,2,1,14,E,140,D
20222,04842244,23,3,1,539,E,150,D
20222,04842244,23,4,1,53,E,160,D
20222,04842244,23,5,1,35,E,170,D
20222,04842244,23,6,1,86,E,190,D
20222,04844204,24,0,1,,H,,A
20222,04844204,24,1,1,13,E,120,D
20222,04844204,24,2,1,1,E,140,D
20222,04844204,24,3,1,42,E,150,D
20222,04844204,24,4,1,4,E,160,D
20222,04844204,24,5,1,2,E,170,D
20222,04844204,24,6,1,125,E,180,D
20222,04844204,24,7,1,11,E,190,D
20222,04844774,35,0,1,,H,,A
20222,04844774,35,1,1,21,E,120,D
20222,04844774,35,2,1,3,E,140,D
20222,04844774,35,3,1,134,E,150,D
20222,04844774,35,4,1,13,E,160,D
20222,04844774,35,5,1,8,E,170,D
20222,04844774,35,6,1,21,E,190,D
20222,04846154,37,0,1,,H,,A
20222,04846154,37,1,1,73,E,120,D
20222,04846154,37,2,1,10,E,140,D
20222,04846154,37,3,1,350,E,150,D
20222,04846154,37,4,1,98,E,160,D
20222,04846154,37,5,1,29,E,170,D
20222,04846154,37,6,1,40,E,190,D
20222,04848624,76,0,1,,H,,A
20222,04848624,76,1,1,48,E,100,D
20222,04848624,76,2,1,9,E,110,D
20222,04848624,76,3,1,20,E,120,D
20222,04848624,76,4,1,2,E,140,D
20222,04848624,76,5,1,132,E,150,D
20222,04848624,76,6,1,15,E,160,D
20222,04848624,76,7,1,6,E,170,D
20222,04848624,76,8,1,18,E,190,D
20222,04903223,59,0,1,,H,,A
20222,04903223,59,1,1,92,E,100,D
20222,04903223,59,2,1,23,E,110,D
20222,04903223,59,3,1,47,E,120,D
20222,04903223,59,4,1,183,E,130,D
20222,04903223,59,5,1,6,E,140,D
20222,04903223,59,6,1,237,E,150,D
20222,04903223,59,7,1,66,E,160,D
20222,04903223,59,8,1,19,E,170,D
20222,04903223,59,9,1,27,E,190,D
20222,04903413,25,0,1,,H,,A
20222,04903413,25,1,1,369,E,100,D
20222,04903413,25,2,1,131,E,110,D
20222,04907443,56,0,1,,H,,A
20222,04907443,56,1,1,569,E,100,D
20222,04907443,56,2,1,195,E,110,D
20222,04907443,56,3,1,326,E,120,D
20222,04907443,56,4,1,1535,E,130,D
20222,04907443,56,5,1,63,E,140,D
20222,04907443,56,6,1,2425,E,150,D
20222,04907443,56,7,1,240,E,160,D
20222,04907443,56,8,1,158,E,170,D
20222,04907443,56,9,1,389,E,190,D
20222,04907443,56,10,1,326,E,210,D
20222,04907443,56,11,1,140,E,220,D
20222,04907753,30,0,1,,H,,A
20222,04907753,30,1,1,74,E,120,D
20222,04907753,30,2,1,8,E,140,D
20222,04907753,30,3,1,485,E,150,D
20222,04907753,30,4,1,56,E,160,D
20222,04907753,30,5,1,34,E,170,D
20222,04907753,30,6,1,145,E,180,D
20222,04907753,30,7,1,73,E,190,D
20222,04914773,41,0,1,,H,,A
20222,04914773,41,1,1,962,E,100,D
20222,04914773,41,2,1,194,E,110,D
20222,04914773,41,3,1,334,E,120,D
20222,04914773,41,4,1,52,E,140,D
20222,04914773,41,5,1,2651,E,150,D
20222,04914773,41,6,1,304,E,160,D
20222,04914773,41,7,1,125,E,170,D
20222,04914773,41,8,1,378,E,190,D
20222,04917033,47,0,1,,H,,A
20222,04917033,47,1,1,116,E,120,D
20222,04917033,47,2,1,16,E,140,D
20222,04917033,47,3,1,567,E,150,D
20222,04917033,47,4,1,159,E,160,D
20222,04917033,47,5,1,47,E,170,D
20222,04917033,47,6,1,66,E,190,D
20222,04917463,44,0,1,,H,,A
20222,04917463,44,1,1,102,E,100,D
20222,04917463,44,2,1,19,E,110,D
20222,04917463,44,3,1,33,E,120,D
20222,04917463,44,4,1,193,E,130,D
20222,04917463,44,5,1,5,E,140,D
20222,04917463,44,6,1,268,E,150,D
20222,04917463,44,7,1,30,E,160,D
20222,04917463,44,8,1,12,E,170,D
20222,04917463,44,9,1,38,E,190,D
20222,04919153,41,0,1,,H,,A
20222,04919153,41,1,1,600,E,130,D
20222,04924183,44,0,1,,H,,A
20222,04924183,44,1,1,295,E,120,D
20222,04924183,44,2,1,42,E,140,D
20222,04924183,44,3,1,1460,E,150,D
20222,04924183,44,4,1,411,E,160,D
20222,04924183,44,5,1,122,E,170,D
20222,04924183,44,6,1,170,E,190,D
20222,04924403,51,0,1,,H,,A
20222,04924403,51,1,1,17,E,120,D
20222,04924403,51,2,1,2,E,140,D
20222,04924403,51,3,1,87,E,150,D
20222,04924403,51,4,1,24,E,160,D
20222,04924403,51,5,1,7,E,170,D
20222,04924403,51,6,1,13,E,190,D
20222,04926973,46,0,1,,H,,A
20222,04926973,46,1,1,126,E,130,D
20222,04947822,17,0,1,,H,,A
