QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20222,04815344,30,0,1,1,D,,A,,A,20,D,,A,,A,,A,,A,,A,40,D,0,D
20222,04822214,44,0,1,2,D,,A,,A,30,D,300,D,,A,,A,,A,,A,200,D,70,D
20222,04823024,43,0,1,1,D,200,D,250,D,,A,,A,,A,,A,,A,,A,50,D,,A
20222,04823894,73,0,1,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,35,D,,A
20222,04824124,13,0,1,3,D,1000,D,,A,,A,,A,,A,,A,,A,,A,350,D,,A
20222,04826924,43,0,1,2,D,783,D,8,D,,A,46,D,,A,,A,,A,,A,242,D,,A
20222,04829914,55,0,1,2,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832314,34,0,1,3,D,717,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A
20222,04835284,14,0,1,4,D,,A,,A,,A,150,D,,A,,A,,A,,A,50,D,,A
20222,04838164,20,0,1,2,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04839074,64,0,1,2,D,750,D,300,D,,A,,A,,A,,A,,A,,A,300,D,,A
20222,04842764,14,0,1,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20222,04843824,26,0,1,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,10,D
20222,04845324,19,0,1,8,D,1540,D,,A,,A,80,D,,A,,A,,A,,A,300,D,250,D
20222,04850044,38,0,1,1,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04895923,14,0,1,2,D,66,G,10,G,63,G,10,G,,A,,A,,A,,A,55,G,12,G
20222,04898503,23,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,75,D,55,D
20222,04910363,29,0,1,4,D,3800,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A
20222,04914823,9,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,120,F,,A
20222,04915493,24,0,1,6,D,1200,D,,A,,A,,A,,A,,A,,A,,A,500,D,500,D
20222,04919333,22,0,1,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04919493,43,0,1,3,D,500,D,,A,,A,150,D,,A,,A,,A,,A,600,D,50,D
20222,04919613,36,0,1,2,D,360,D,,A,,A,25,D,,A,,A,,A,,A,200,D,50,D
20222,04920903,29,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20222,04922783,54,0,1,1,D,75,D,20,D,,A,,A,,A,,A,,A,,A,30,D,,A
20222,04922783,55,0,1,1,D,75,D,20,D,,A,,A,,A,,A,,A,,A,30,D,,A
20222,04924063,20,0,1,5,D,266,G,,A,,A,450,D,,A,,A,,A,,A,400,D,,A
