QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20222,04815104,12,0,1,,A,,A,,A,1,D,1,D,,A,48,E,47,E,47,E,73,E,74,E,74,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20222,04815104,13,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,190,D,190,D,190,D,,A,1,D
20222,04815114,38,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,72,D,72,D,122,D,,A,1,D
20222,04815114,39,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815124,33,0,1,0.30,D,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,130,D,130,D,130,D,,A,1,D
20222,04815124,34,0,1,,A,,A,,A,1,D,2,D,,A,69,D,69,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815134,17,0,1,,A,,A,,A,1,D,2,D,,A,56,D,56,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815134,18,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,228,D,228,D,228,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815154,22,0,1,,A,1,D,2,D,1,D,1,D,,A,27,E,27,E,27,E,39,E,38,E,39,E,21,E,21,E,19,E,43,E,44,E,45,E,2,D,1,D
20222,04815204,41,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,130,D,130,D,130,D,,A,1,D
20222,04815264,62,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,410,D,410,D,593,T,,A,1,D
20222,04815264,63,0,1,,A,1,D,,A,1,D,1,D,,A,105,E,104,E,105,E,155,E,156,E,155,E,120,E,120,E,120,E,,A,,A,,A,2,D,1,D
20222,04815264,64,0,1,,A,1,D,,A,1,D,1,D,,A,120,E,122,E,120,E,180,E,180,E,182,E,140,E,138,E,138,E,,A,,A,,A,2,D,1,D
20222,04815284,37,0,1,,A,,A,,A,1,D,2,D,,A,45,D,45,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815284,38,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,210,D,210,D,210,D,,A,1,D
20222,04815334,9,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D
20222,04815344,31,0,1,,A,,A,,A,1,D,2,D,,A,136,D,136,D,136,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815344,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,69,D,69,D,69,D,,A,1,D
20222,04815344,33,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,175,D,175,D,175,D,,A,1,D
20222,04815344,34,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,69,D,136,D,136,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815384,16,0,1,,A,,A,,A,1,D,1,D,,A,45,E,45,E,45,E,85,E,85,E,85,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20222,04815384,17,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,330,D,330,D,330,D,,A,1,D
20222,04815404,30,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,27,D,27,D,27,D,,A,1,D
20222,04815424,26,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D
20222,04815424,27,0,1,,A,,A,,A,1,D,2,D,,A,38,D,38,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815424,28,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,100,D,100,D,100,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815434,14,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,35,D,35,D,,A,1,D
20222,04815434,15,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,7,D,7,D,7,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815454,16,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,350,D,350,D,30,D,,A,1,D
20222,04815454,17,0,1,,A,,A,,A,1,D,2,D,,A,90,D,90,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815474,51,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,115,D,115,D,115,D,,A,1,D
20222,04815474,52,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,75,D,75,D,75,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815584,8,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815584,9,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,150,D,150,D,,A,1,D
20222,04815614,27,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,196,D,196,D,196,D,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815634,15,0,1,,A,1,D,,A,1,D,1,D,,A,86,E,84,E,82,E,105,E,106,E,106,E,59,E,60,E,62,E,,A,,A,,A,2,D,1,D
20222,04815634,16,0,1,,A,,A,2,D,1,D,2,D,,A,15,E,14,E,14,E,,A,,A,,A,,A,,A,,A,15,E,16,E,16,E,2,D,1,D
20222,04815634,17,0,1,,A,,A,2,D,1,D,2,D,,A,49,E,46,E,48,E,,A,,A,,A,,A,,A,,A,51,E,54,E,52,E,2,D,1,D
20222,04815714,23,0,1,,A,1,D,,A,1,D,1,D,,A,50,E,50,E,50,E,78,E,78,E,78,E,42,E,42,E,42,E,,A,,A,,A,2,D,1,D
20222,04815714,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,180,D,156,D,156,D,,A,1,D
20222,04815754,28,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,82,D,82,D,82,D,,A,1,D
20222,04815764,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,320,D,320,D,320,D,,A,1,D
20222,04815764,21,0,1,,A,1,D,,A,1,D,1,D,,A,49,E,47,E,46,E,84,E,86,E,85,E,32,E,32,E,34,E,,A,,A,,A,2,D,1,D
20222,04815784,34,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,230,D,230,D,230,D,,A,1,D
20222,04815784,35,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20222,04815814,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,74,D,74,D,74,D,,A,1,D
