QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,PRPYCELL,PRPY_ELL,PRPYCLX,PRPYCLX_
20222,04815104,17,0,1,2,D,,A,2,D,,A
20222,04815114,42,0,1,2,D,,A,2,D,,A
20222,04815124,38,0,1,2,D,,A,2,D,,A
20222,04815134,21,0,1,2,D,,A,2,D,,A
20222,04815154,25,0,1,2,D,,A,2,D,,A
20222,04815204,44,0,1,2,D,,A,2,D,,A
20222,04815264,70,0,1,2,D,,A,2,D,,A
20222,04815284,42,0,1,2,D,,A,2,D,,A
20222,04815324,17,0,1,2,D,,A,2,D,,A
20222,04815334,11,0,1,2,D,,A,2,D,,A
20222,04815344,37,0,1,2,D,,A,2,D,,A
20222,04815384,20,0,1,2,D,,A,2,D,,A
20222,04815404,34,0,1,2,D,,A,2,D,,A
20222,04815424,31,0,1,2,D,,A,2,D,,A
20222,04815434,16,0,1,2,D,,A,2,D,,A
20222,04815454,22,0,1,2,D,,A,2,D,,A
20222,04815474,56,0,1,2,D,,A,2,D,,A
20222,04815544,11,0,1,2,D,,A,2,D,,A
20222,04815584,11,0,1,2,D,,A,2,D,,A
20222,04815614,33,0,1,2,D,,A,2,D,,A
20222,04815634,18,0,1,2,D,,A,2,D,,A
20222,04815714,28,0,1,2,D,,A,2,D,,A
20222,04815754,31,0,1,2,D,,A,2,D,,A
20222,04815764,25,0,1,2,D,,A,2,D,,A
20222,04815784,38,0,1,2,D,,A,2,D,,A
20222,04815814,31,0,1,2,D,,A,2,D,,A
20222,04815834,27,0,1,2,D,,A,2,D,,A
20222,04815914,13,0,1,2,D,,A,2,D,,A
20222,04815924,52,0,1,2,D,,A,1,D,135,D
20222,04815934,14,0,1,2,D,,A,2,D,,A
20222,04815944,21,0,1,2,D,,A,2,D,,A
20222,04816004,21,0,1,2,D,,A,2,D,,A
20222,04816024,9,0,1,2,D,,A,2,D,,A
20222,04816064,26,0,1,2,D,,A,2,D,,A
20222,04816104,30,0,1,2,D,,A,2,D,,A
20222,04816114,28,0,1,2,D,,A,2,D,,A
20222,04816134,24,0,1,2,D,,A,2,D,,A
20222,04816184,40,0,1,2,D,,A,2,D,,A
20222,04816224,43,0,1,2,D,,A,2,D,,A
20222,04816274,13,0,1,2,D,,A,2,D,,A
20222,04816314,26,0,1,2,D,,A,2,D,,A
20222,04816364,32,0,1,2,D,,A,2,D,,A
20222,04816374,18,0,1,2,D,,A,2,D,,A
20222,04816394,17,0,1,2,D,,A,2,D,,A
20222,04816424,11,0,1,2,D,,A,2,D,,A
20222,04816464,5,0,1,2,D,,A,2,D,,A
20222,04816474,16,0,1,2,D,,A,2,D,,A
20222,04816484,9,0,1,2,D,,A,2,D,,A
20222,04816514,19,0,1,2,D,,A,2,D,,A
20222,04816524,21,0,1,2,D,,A,2,D,,A
20222,04816544,22,0,1,2,D,,A,2,D,,A
20222,04816554,24,0,1,2,D,,A,2,D,,A
20222,04816574,28,0,1,2,D,,A,2,D,,A
20222,04816614,13,0,1,2,D,,A,2,D,,A
20222,04816664,37,0,1,2,D,,A,2,D,,A
20222,04816694,42,0,1,2,D,,A,2,D,,A
20222,04816704,44,0,1,2,D,,A,2,D,,A
20222,04816724,38,0,1,2,D,,A,2,D,,A
20222,04816784,26,0,1,2,D,,A,2,D,,A
20222,04816914,20,0,1,2,D,,A,2,D,,A
20222,04816934,15,0,1,2,D,,A,2,D,,A
20222,04816984,34,0,1,2,D,,A,2,D,,A
20222,04816994,38,0,1,2,D,,A,2,D,,A
20222,04817024,27,0,1,2,D,,A,2,D,,A
20222,04817034,17,0,1,1,D,103,D,2,D,,A
20222,04817054,25,0,1,2,D,,A,2,D,,A
20222,04817064,39,0,1,2,D,,A,2,D,,A
20222,04817114,32,0,1,2,D,,A,2,D,,A
20222,04817134,14,0,1,2,D,,A,2,D,,A
20222,04817144,8,0,1,2,D,,A,2,D,,A
20222,04817224,21,0,1,2,D,,A,2,D,,A
20222,04817274,36,0,1,2,D,,A,2,D,,A
20222,04817294,46,0,1,2,D,,A,2,D,,A
20222,04817314,10,0,1,2,D,,A,2,D,,A
20222,04817344,23,0,1,2,D,,A,2,D,,A
20222,04817354,14,0,1,2,D,,A,2,D,,A
20222,04817364,22,0,1,2,D,,A,2,D,,A
20222,04817394,36,0,1,2,D,,A,2,D,,A
20222,04817404,35,0,1,2,D,,A,2,D,,A
20222,04817434,30,0,1,2,D,,A,2,D,,A
20222,04817464,47,0,1,2,D,,A,2,D,,A
20222,04817474,25,0,1,2,D,,A,2,D,,A
20222,04817494,36,0,1,2,D,,A,2,D,,A
20222,04817534,13,0,1,2,D,,A,2,D,,A
20222,04817634,24,0,1,2,D,,A,2,D,,A
20222,04817654,33,0,1,2,D,,A,2,D,,A
20222,04817674,24,0,1,2,D,,A,2,D,,A
20222,04817684,36,0,1,2,D,,A,2,D,,A
20222,04817714,32,0,1,2,D,,A,2,D,,A
20222,04817754,23,0,1,2,D,,A,2,D,,A
20222,04817774,55,0,1,2,D,,A,2,D,,A
20222,04817844,15,0,1,2,D,,A,2,D,,A
20222,04817854,12,0,1,2,D,,A,2,D,,A
20222,04817864,46,0,1,2,D,,A,2,D,,A
20222,04817874,45,0,1,2,D,,A,2,D,,A
20222,04817894,37,0,1,2,D,,A,2,D,,A
20222,04817914,41,0,1,2,D,,A,2,D,,A
20222,04817944,24,0,1,2,D,,A,2,D,,A
20222,04817964,34,0,1,2,D,,A,2,D,,A
20222,04817974,27,0,1,2,D,,A,2,D,,A
20222,04817984,15,0,1,2,D,,A,2,D,,A
20222,04818024,32,0,1,2,D,,A,2,D,,A
20222,04818064,43,0,1,2,D,,A,2,D,,A
20222,04818084,37,0,1,2,D,,A,2,D,,A
20222,04818114,35,0,1,2,D,,A,2,D,,A
20222,04818144,20,0,1,2,D,,A,2,D,,A
20222,04818154,53,0,1,2,D,,A,2,D,,A
20222,04818184,29,0,1,2,D,,A,2,D,,A
20222,04818194,25,0,1,2,D,,A,2,D,,A
20222,04818244,33,0,1,2,D,,A,2,D,,A
