QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20222,04815114,43,0,1,420,D,02,D,200,D,,A,,A,,A,,A
20222,04815124,40,0,1,410,D,02,D,20,D,,A,,A,,A,,A
20222,04815124,41,0,1,420,D,03,D,40,D,,A,,A,,A,,A
20222,04815284,43,0,1,420,D,01,D,245,D,,A,,A,,A,,A
20222,04815344,39,0,1,420,D,02,D,86,D,,A,,A,,A,,A
20222,04815424,34,0,1,420,D,03,D,145,D,,A,,A,,A,,A
20222,04815714,30,0,1,410,D,03,D,38,D,,A,,A,,A,,A
20222,04815814,33,0,1,430,D,03,D,,H,425,D,405,D,415,D,,A
20222,04815814,33,1,1,420,D,03,D,26,E,,A,,A,,A,,A
20222,04815814,33,2,1,420,D,03,D,110,E,,A,,A,,A,,A
20222,04815924,57,0,1,420,D,02,D,180,D,,A,,A,,A,,A
20222,04816114,32,0,1,430,D,02,D,,H,425,D,405,D,415,D,,A
20222,04816114,32,1,1,420,D,02,D,150,E,,A,,A,,A,,A
20222,04816114,32,2,1,420,D,02,D,650,E,,A,,A,,A,,A
20222,04816184,42,0,1,420,D,03,D,71,F,,A,,A,,A,,A
20222,04816224,47,0,1,400,D,03,D,50,D,,A,,A,,A,,A
20222,04816224,48,0,1,405,D,03,D,40,D,,A,,A,,A,,A
20222,04816374,19,0,1,420,D,03,D,510,D,,A,,A,,A,,A
20222,04816374,20,0,1,410,D,02,D,25,D,,A,,A,,A,,A
20222,04816514,20,0,1,420,D,01,D,130,D,,A,,A,,A,,A
20222,04816544,23,0,1,400,D,03,D,45,D,,A,,A,,A,,A
20222,04816694,43,0,1,420,D,03,D,529,D,,A,,A,,A,,A
20222,04817054,27,0,1,420,D,01,D,500,D,,A,,A,,A,,A
20222,04817064,42,0,1,410,D,02,D,38,D,,A,,A,,A,,A
20222,04817114,33,0,1,420,D,03,D,195,D,,A,,A,,A,,A
20222,04817224,22,0,1,410,D,02,D,21,D,,A,,A,,A,,A
20222,04817274,37,0,1,420,D,03,D,78,D,,A,,A,,A,,A
20222,04817364,25,0,1,405,D,01,D,84,F,,A,,A,,A,,A
20222,04817404,36,0,1,420,D,02,D,85,D,,A,,A,,A,,A
20222,04817494,38,0,1,420,D,03,D,168,D,,A,,A,,A,,A
20222,04817634,26,0,1,420,D,01,D,60,D,,A,,A,,A,,A
20222,04817684,39,0,2,405,D,01,D,325,D,,A,,A,,A,,A
20222,04817714,34,0,1,420,D,03,D,99,D,,A,,A,,A,,A
20222,04817714,35,0,1,420,D,02,D,234,D,,A,,A,,A,,A
20222,04817844,16,0,1,420,D,02,D,90,D,,A,,A,,A,,A
20222,04817864,47,0,1,420,D,02,D,87,D,,A,,A,,A,,A
20222,04817914,43,0,1,400,D,03,D,45,D,,A,,A,,A,,A
20222,04817964,37,0,1,420,D,03,D,228,D,,A,,A,,A,,A
20222,04817974,28,0,1,400,D,02,D,24,D,,A,,A,,A,,A
20222,04818184,30,0,1,420,D,02,D,35,D,,A,,A,,A,,A
20222,04818244,35,0,1,420,D,01,D,163,D,,A,,A,,A,,A
20222,04818494,15,0,1,420,D,03,D,200,D,,A,,A,,A,,A
20222,04818614,32,0,1,410,D,03,D,35,D,,A,,A,,A,,A
20222,04818734,48,0,1,430,D,03,D,,H,425,D,415,D,,A,,A
