QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPFLUDX,VOPF_UDX,VOPPARKX,VOPP_RKX,VOPTOWX,VOPTOWX_,VOPDOCKX,VOPD_CKX,VOPPLCYX,VOPP_CYX,TANKGASX,TANK_ASX,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,VOPCLUBX,VOPC_UBX,VOPTOLLX,VOPT_LLX,VOPOILX,VOPOILX_,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX
20222,04815104,18,0,1,,A,,A,,A,,A,,A,,A,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815114,44,0,1,3,D,3,D,,A,,A,,A,,A,1140,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815124,42,0,1,,A,40,D,,A,,A,,A,,A,960,D,,A,,A,70,D,200,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815134,22,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815154,26,0,1,,A,,A,,A,,A,,A,,A,450,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815204,46,0,1,20,D,,A,,A,,A,,A,,A,480,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815264,75,0,1,6,D,80,D,,A,,A,,A,,A,2880,D,,A,160,D,105,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815284,44,0,1,20,D,,A,,A,,A,,A,,A,1800,D,,A,,A,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815324,18,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815334,12,0,1,,A,,A,,A,,A,,A,,A,360,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815344,40,0,1,4,D,,A,,A,,A,,A,,A,180,D,,A,,A,,A,5,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815384,21,0,1,,A,,A,,A,,A,,A,,A,1950,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815404,37,0,1,,A,,A,,A,,A,,A,,A,1200,D,,A,,A,180,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815424,35,0,1,,A,,A,,A,,A,,A,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815434,17,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815454,26,0,1,,A,,A,,A,,A,,A,,A,450,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815474,58,0,1,,A,,A,,A,,A,4000,D,,A,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815544,12,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815584,14,0,1,400,D,,A,,A,,A,,A,,A,750,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815614,34,0,1,,A,,A,,A,,A,,A,,A,375,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815634,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815714,31,0,1,6,D,,A,,A,,A,,A,,A,1140,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815754,32,0,1,,A,,A,,A,,A,,A,,A,420,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815764,26,0,1,,A,,A,,A,,A,,A,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815784,39,0,1,,A,,A,,A,,A,,A,,A,4800,D,,A,,A,80,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815814,34,0,1,,A,3,D,,A,,A,,A,,A,420,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815834,29,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815914,14,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,100,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815924,58,0,1,,A,,A,,A,,A,,A,,A,5190,D,,A,,A,,A,300,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815934,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04815944,23,0,1,,A,,A,,A,,A,,A,,A,900,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04816004,22,0,1,,A,,A,,A,,A,,A,,A,1500,D,,A,206,D,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04816024,10,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04816064,28,0,1,,A,,A,,A,,A,,A,,A,720,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
